,역이름,위도,경도,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원
421,올림픽공원역,37.5163245709914,127.130963650207,22,0,1559,353,6438,4190,14475,5170,15803,12720,10888,7501,6895,5858,6099,5968,7025,6969,7189,7286,6916,7832,8246,7606,10899,8176,13728,10831,15880,16898,7051,13640,4751,9232,4063,8239,3275,10204,617,3360,0,26,0,0,0,0,0,0
424,왕십리역,37.5612611631671,127.037078472459,909,1,6444,763,10034,5335,25516,12577,43310,27348,26712,17198,17955,13063,17870,13071,19859,15861,20937,16646,20269,17212,22247,17841,27238,22023,32864,30597,36488,51378,22514,31452,20964,17001,27404,15136,29289,19666,4738,8173,18,69,0,0,0,0,0,0
425,왕십리역,37.5612611631671,127.037078472459,26,0,1983,353,2501,2535,6280,5955,8923,19113,4935,8103,4454,5824,4899,5555,5642,6266,5926,6909,5974,7034,6807,6991,7944,8029,9888,10138,14286,15709,8660,8897,7298,4675,7944,4342,7343,4845,1520,2024,7,987,0,0,0,0,0,0
426,왕십리역,37.5612611631671,127.037078472459,787,9,5209,772,8760,4589,25148,10856,39334,20349,25535,14124,14855,14816,14273,15408,16134,18967,17336,19517,17709,20600,19913,22944,21717,28086,25970,39685,26977,61295,19833,44325,18872,24777,23996,19354,23070,23512,3568,8649,117,2702,0,0,0,0,0,0
436,외대앞역,37.5962624346633,127.063683442668,471,11,4241,1155,7710,3140,17447,3651,21071,11954,12150,8627,10188,8092,9649,7873,10700,8369,10904,9201,10619,9844,11211,11145,12376,12806,14258,15834,11584,22497,7741,17837,6561,11204,7137,10713,6214,12497,1571,6082,58,789,0,0,0,0,0,0
437,용답역,37.5621209757458,127.050887278781,10,1,2491,227,3060,779,7092,1776,11736,3541,6308,2701,3939,2738,3623,2854,3904,3015,4369,3530,3807,3433,3911,4049,4415,5211,4442,6087,3573,9539,2132,6588,1401,4244,1048,5059,1150,5704,293,2343,0,0,0,0,0,0,0,0
438,용두역,37.5740549248114,127.038262110343,31,0,1079,135,1547,830,4711,2123,8115,6324,4006,3416,3218,3039,3591,3440,3731,2823,3743,3651,3787,3858,3968,3981,4334,3850,4602,4147,5808,7412,2333,5568,1428,2723,1302,2858,829,2485,168,1167,0,16,0,0,0,0,0,0
439,용마산역,37.573704888224,127.086757224194,6,1,4721,556,10518,2316,24183,4143,29750,10242,16454,6055,9069,5709,7588,5212,7482,5748,7246,5912,6721,6520,6748,8168,7287,10063,7226,12989,7715,21417,5157,19366,3032,11069,2558,10738,2052,12334,774,5112,2,349,0,0,0,0,0,0
440,용산역,37.5300691538724,126.964815014401,316,5,2911,4506,5195,27068,17823,65354,27990,138674,26831,90818,21602,62919,35367,46707,32572,47930,41425,50862,39555,46802,58657,46992,68392,47345,94667,51277,141587,58928,79282,43098,70444,25773,66351,19779,43215,14445,10204,3652,94,737,0,0,0,0,0,0
442,우장산역,37.5488098724086,126.836320627782,0,0,6019,769,20497,4720,55211,16637,54880,24431,27393,13509,20086,11910,19210,12716,20425,14025,20282,16680,18207,17391,20811,20063,23592,24174,22264,29524,19058,50657,11065,43080,8431,24068,7518,19513,6083,24059,1098,10116,3,346,0,0,0,0,0,0
443,월계역,37.6332595324731,127.058843478444,629,2,4880,1057,9181,2408,24373,7787,21231,9280,13316,7912,10713,5957,9687,6284,10056,7382,10310,9176,8756,7474,10074,9380,11786,12283,10876,13716,9237,19453,5201,18432,3775,9549,3459,8485,2738,9342,859,4058,59,665,0,0,0,0,0,0
444,월곡역,37.6018044220648,127.041447136594,12,0,6426,882,12500,3842,39430,7061,43642,23974,21484,15099,14966,10359,13202,10067,14359,11073,14058,11847,12790,12277,12244,14985,14622,19124,16647,23280,24052,38830,11666,31570,8413,17254,7344,16301,5404,16892,1834,8034,2,141,0,0,0,0,0,0
445,월드컵경기장역,37.5696211494292,126.899098167507,0,0,1000,861,2396,2844,8303,4851,10326,8861,5594,8016,5221,8328,6212,10067,6669,10344,7149,12526,9086,12669,12533,11202,15292,9629,13221,8932,15111,12845,6773,9580,5140,4933,6784,3832,3583,3636,744,1248,0,69,0,0,0,0,0,0
446,을지로3가역,37.5662761796769,126.990967458779,4,0,819,1671,1989,16640,5226,62629,8752,151973,9654,65803,10352,27380,13644,21764,15735,20187,18737,22259,22064,20037,26494,17738,33245,18531,71312,21770,127804,26287,49691,13063,33036,5937,41564,4658,38967,5279,4235,1715,2,145,0,0,0,0,0,0
447,을지로3가역,37.5662761796769,126.990967458779,8,0,568,854,930,8070,1817,32296,2994,76103,3608,32222,4732,14562,6313,12171,7571,11673,9508,11521,11497,10227,13010,9912,16287,9742,35154,11765,64695,13919,26241,6809,16517,2515,18532,1884,16283,1808,1821,818,0,71,1,0,0,0,0,0
450,을지로4가역,37.5666368996611,126.997623004003,4,2,905,1074,1550,11953,2869,33157,5520,78481,6526,40532,8345,21824,11643,19159,13149,16933,15437,17113,18145,16060,21988,14412,25297,12260,48722,10713,68876,10656,30907,5638,15511,2743,13466,2744,10597,3062,1864,1207,0,82,0,0,0,0,0,0
451,을지로4가역,37.5666368996611,126.997623004003,3,0,381,367,576,5472,1079,16588,1881,45077,2143,19383,3047,11062,4659,9212,5674,8362,6651,8008,7938,7190,9279,6130,11219,4950,22142,4516,37098,4798,16206,2412,8638,1201,7447,1054,5987,992,923,416,0,31,0,0,0,0,0,0
454,을지로입구역,37.5660229020616,126.982183995362,61,1,1643,1803,2751,27978,7699,114902,12957,284767,13447,134192,15937,57413,23623,48631,28525,40226,37862,39849,43327,34815,53550,30719,65832,30042,134872,33868,234919,39183,94935,19633,82809,9925,56189,9710,43748,10352,5154,3275,1,1281,0,0,0,0,0,0
455,응봉역,37.549945423924,127.034470070506,193,0,1169,286,2712,1191,6901,2102,7052,2371,4564,1805,3032,1584,2563,1682,3075,1852,2500,2478,2254,2740,2733,2824,3215,3534,3029,4173,2758,5296,1761,5382,1353,2618,1062,2052,980,2653,261,999,6,206,0,0,0,0,0,0
456,응암역,37.598483842041,126.915524077713,8,0,10909,1133,25484,5081,73686,9560,87630,17710,41799,11439,25372,12571,22588,13555,23863,16757,22912,17488,20043,19804,19372,24206,20860,29646,20813,41462,20875,73958,12942,61240,9613,37277,8490,29682,7331,33350,1688,15592,0,652,0,0,0,0,0,0
457,이대역,37.5568039038233,126.946422762684,57,0,2665,1184,6911,7958,20572,11643,26341,32355,16029,29627,11730,19271,13186,16136,17371,18210,19201,21414,17451,17590,19642,16097,25206,17503,33923,21058,30984,31263,18302,23738,14585,13776,15688,14053,12282,16709,2876,7518,2,27,0,0,0,0,0,0
458,이수역,37.4867887823399,126.982202828739,52,0,4090,1042,8572,8544,26686,15025,41048,41524,26069,26313,17326,17937,17109,16250,18496,16636,20267,18632,20194,18537,20675,20225,23867,24353,29026,31564,43095,51967,23394,34097,21317,17869,24574,15495,23336,16491,3972,6312,10,499,0,0,0,0,0,0
459,이촌역,37.5224489050814,126.973325479803,36,6,1133,625,4395,6630,12987,14125,16444,27160,11037,14488,8280,9888,8145,9990,9971,11929,9825,13155,10465,12447,12243,12642,18301,12652,19947,14660,23432,20623,9716,14439,6830,8585,7961,7401,5328,8347,860,2672,2,6,0,0,0,0,0,0
460,이촌역,37.5224489050814,126.973325479803,66,1,1156,532,3226,2164,8065,4930,8542,8051,7157,4916,5125,2969,4890,3004,5119,3447,5668,3940,5303,3687,6179,4472,7860,4821,9974,5763,10460,7503,5661,6222,4176,4035,4181,3631,2988,4657,678,1661,14,328,0,0,0,0,0,0
463,이태원역,37.534507184382,126.994320286276,4,0,2046,950,4345,6735,8811,11233,13514,26480,9693,20908,7490,13327,8184,13350,10251,14861,11910,16556,12548,15701,15825,16576,21146,19446,25196,23177,29296,30335,20974,21682,18383,10927,25493,7955,28228,8969,3618,4329,1,414,0,0,0,0,0,0
