ARS-ID,표준ID,정류소명,X좌표,Y좌표,18시하차총승객수,19시하차총승객수,20시하차총승객수,21시하차총승객수
22571,121900117,국립중앙도서관,127.0045250991,37.4979562272,21.0,12.25,8.0,6.791666666666667
22572,121900245,반포1동성당,127.020458,37.504381,103.75,150.0,100.41666666666667,106.41666666666667
22573,121900322,여의3교,127.0555488578,37.4523077324,29.833333333333332,32.583333333333336,22.416666666666668,22.166666666666668
22574,121900118,방배(백석예술대)역.서초프라자약국,126.9972005292,37.4821931646,351.4166666666667,210.04166666666666,134.20833333333334,105.95833333333333
22575,121900119,동덕여고,126.9929112588,37.4745421637,151.58333333333334,142.91666666666666,104.25,89.83333333333333
22576,121900120,이수역4번출구,126.9828872574,37.4855448766,802.6111111111111,498.5833333333333,364.0,450.0
22577,121900121,신사역,127.0196357149,37.5153062651,80.83333333333333,66.08333333333333,39.333333333333336,39.25
22578,121900122,유원아파트,127.0178315299,37.4954375428,65.16666666666667,36.416666666666664,27.5,18.0
22579,121900123,서초역2번출구,127.0080558712,37.4912723126,742.75,496.5833333333333,337.0,359.9166666666667
22581,121900296,국립국악원,127.0085899442,37.4783197449,95.58333333333333,63.666666666666664,18.75,16.083333333333332
22582,121900295,종로교회,126.9880961149,37.4781286748,186.20833333333334,141.16666666666666,95.79166666666667,90.54166666666667
22583,121900294,서초푸르지오써밋,127.0217384267,37.5019827597,3.3333333333333335,3.1666666666666665,1.5833333333333333,1.5
22584,121900292,원불교,127.0419441469,37.4809808634,210.75,118.66666666666667,84.83333333333333,78.16666666666667
22585,121900290,일동제약,127.0370105392,37.4772259338,119.16666666666667,105.66666666666667,59.55555555555556,48.44444444444444
22586,121900261,방일초등학교,126.9948578557,37.4857971955,473.2083333333333,237.54166666666666,145.75,119.16666666666667
22587,121900246,논현역,127.02152703,37.5102519994,598.0,464.0,290.9166666666667,315.8333333333333
22589,121900242,매일상가,127.0130492971,37.5136013238,14.533333333333333,8.8,2.533333333333333,1.4
22591,121900319,청계산입구역,127.0552805754,37.4490672789,221.08333333333334,97.58333333333333,47.5,22.083333333333332
22592,121900281,예술의전당,127.0134960084,37.4806956014,238.75,169.66666666666666,66.33333333333333,44.5
22593,121900263,서울교통공사,126.9868682334,37.4774316112,305.2083333333333,175.08333333333334,105.75,102.79166666666667
22594,121900241,경원중학교,127.0068325086,37.5114744892,71.83333333333333,56.666666666666664,44.25,40.083333333333336
22595,121900221,대법원,127.0065170038,37.491553052,796.75,639.4166666666666,445.0833333333333,548.0833333333334
22596,121900220,롯데캐슬클래식,127.0224257375,37.5005191605,17.916666666666668,12.0,7.916666666666667,9.916666666666666
22598,121900320,청계산입구역,127.0554112432,37.4487413223,145.58333333333334,110.91666666666667,73.08333333333333,49.416666666666664
22599,121900262,내방역,126.9942164754,37.4868031897,1077.6666666666667,472.25,267.3333333333333,209.33333333333334
22600,121000937,강남역도시에빛,127.028942093,37.4947752205,,,,
22601,121000957,KT삼거리,127.0297380406,37.4726239536,7.75,9.208333333333334,4.625,5.416666666666667
22602,121000958,KT연구개발센터정문,127.0300614035,37.4705515421,19.86111111111111,18.77777777777778,10.805555555555555,10.444444444444445
22604,121000959,형촌마을입구,127.0226231391,37.4624800536,187.875,219.77777777777777,169.69444444444446,149.58333333333334
22605,121000983,서초호반써밋,127.0146460737,37.4575697041,113.98333333333333,115.15,85.26666666666667,78.21666666666667
22607,121000982,LH서초아파트,127.0253698854,37.4601382,340.25,416.0,234.75,212.33333333333334
22609,121900318,서초포레스타5단지정문,127.0582967486,37.4512467688,18.0,22.583333333333332,9.25,6.166666666666667
22613,121900327,서초호반써밋,127.0151999372,37.456358868,32.666666666666664,80.16666666666667,40.666666666666664,42.166666666666664
22614,121900316,서초포레스타3단지후문,127.059466442,37.453580461,35.0,38.083333333333336,15.916666666666666,8.333333333333334
22615,121900328,서초힐스아파트,127.019194,37.456285,10.5,41.75,22.916666666666668,22.083333333333332
22616,121900329,LH3.4단지,127.0228714075,37.4579627292,110.5,331.0,190.08333333333334,173.0
22631,121900218,교보사거리,127.0235964933,37.5060248856,725.75,553.8333333333334,306.0833333333333,300.0833333333333
22652,121000541,강남역서초현대타워앞,127.0281051367,37.496539242,,,,
22653,121000974,강남역우리은행,127.028520462,37.4956638915,,,,
22654,121000973,강남역티월드,127.0289856171,37.4946855227,178.75,495.8333333333333,453.4166666666667,249.66666666666666
22655,121900307,LH5단지,127.0240826152,37.4594589736,4.416666666666667,21.75,16.5,12.5
