,학교명,소재지도로명주소,위도,경도
111,서울대왕초등학교,서울특별시 강남구 헌릉로618길 8,37.46424569,127.1056184
112,계성초등학교,서울특별시 서초구 신반포로19길 23,37.50467615,126.9967878
113,서울대청초등학교,서울특별시 강남구 양재대로55길 28,37.49283342,127.0879251
114,숙명여자고등학교,서울특별시 강남구 남부순환로 2807,37.49040312,127.0523128
115,서울반원초등학교,서울특별시 서초구 잠원로3길 28,37.51002963,127.0040536
116,서울도성초등학교,서울특별시 강남구 역삼로 313,37.500908,127.0491834
117,중동중학교,서울특별시 강남구 일원로8길 37,37.48880119,127.0781671
118,서울압구정초등학교,서울특별시 강남구 압구정로39길 29,37.53137101,127.0308441
119,도곡중학교,서울특별시 강남구 언주로57길 31,37.49258637,127.0451391
120,서울세종고등학교,서울특별시 강남구 광평로51길 36,37.48999885,127.1025991
121,대치중학교,서울특별시 강남구 남부순환로378길 39,37.48415651,127.0477186
122,방배중학교,서울특별시 서초구 동광로 144,37.49451866,126.9984954
123,서울서일초등학교,서울특별시 서초구 남부순환로339길 38,37.48477207,127.0226321
124,신동중학교,서울특별시 서초구 나루터로 27,37.51634598,127.0130023
125,대왕중학교,서울특별시 강남구 광평로20길 7,37.48313817,127.0874016
126,서울언남초등학교,서울특별시 서초구 헌릉로8길 42,37.45391848,127.0614475
127,서울우솔초등학교,서울특별시 서초구 양재대로2길 74,37.45709258,127.0193128
128,영동중학교,서울특별시 서초구 성촌길 14,37.46573221,127.0255747
129,서울우면초등학교,서울특별시 서초구 태봉로 59,37.46434739,127.0237894
130,서초고등학교,서울특별시 서초구 반포대로27길 29,37.48931678,127.0060374
131,신반포중학교,서울특별시 서초구 신반포로19길 26,37.50570628,126.9961146
132,풍문고등학교,서울특별시 강남구 자곡로 152,37.47135959,127.1006925
133,신사중학교,서울특별시 강남구 압구정로 123,37.52432934,127.0212357
134,서울일원초등학교,서울특별시 강남구 영동대로4길 20,37.48947305,127.0763669
135,내곡중학교,서울특별시 서초구 청계산로7길 9-20,37.45198176,127.054783
136,서울양재초등학교,서울특별시 서초구 바우뫼로18길 14,37.47381019,127.0318861
137,서울세명초등학교,서울특별시 강남구 자곡로 55,37.46860541,127.0910573
