,STAT_CDE,MGRNU,A062_KND_C,SPRT_STD_C,EVE_CDE,SPRT_HOTDI,CSS_CDE,ESB_YMD,CAE_YMD,OD_PE_CDE,GU_CDE,CTRL_YNO_C,DONG_CDE,JIBUN,RMK,NW_PE_CDE,WORK_CDE,VIEW_CDE,SPRT_MET_C,ROB_GBN_CD,TFC_BSS_CD,XGEO,SIXID,LINK_ID,HISID,CTK_MGRNU,SPRT_MGRNU,FRM_CDE,RN_CDE,MNG_AGEN,MGRNU_1,STAT_CDE_1,A057_KND_C,ASN_LENX_C,EVE_CDE_1,SNLP_KND_C,BSNLP_KND_,ESB_YMD_1,CAE_YMD_1,A062_MGRNU,SP_RN_CDE,MK_CPY,WORK_CDE_1,VIEW_CDE_1,SIXID_1,CTK_MGRNU_,ASN_MGRNU,HISID_1,A062_POS,XCE,YCE,FB_CDE,FRM_CDE_1,MNG_AGEN_1,XGEO_1,ASN_DRN,SNLP_QUA,BSNLP_QUA,field_59,field_60,field_61,field_62,field_63,field_64,field_65,field_66,field_67,field_68,field_69,field_70,field_71,field_72,field_73,gid,geometry
2716,1,02-0000039708,1,7,1,2,4727.0,20031231,20041120,280.0,680,1.0,10600,894 대,,410,1,2,2,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(204768.476545612,544669.614723434,NULL),NULL,NULL),,,211207,2003-0101-027,02-039708,3.0,,,03-0000041800,1.0,2.0,999.0,1.0,7,,,,02-0000039708,2,,1,2,,2003-0101-027,03-041800,70527,,204768.476545612,544669.614723434,2.0,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(204768.476545612,544669.614723434,204768.474432521,544669.619254973)),115.0,1,0.0,ㅼ궗605447,MULTIPOINT (127.0539275821433 37.50147877687044)
2717,1,02-0000039708,1,7,1,2,4727.0,20031231,20041120,280.0,680,1.0,10600,894 대,,410,1,2,2,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(204768.476545612,544669.614723434,NULL),NULL,NULL),,,211207,2003-0101-027,02-039708,3.0,,,03-0000013814,1.0,3.0,7.0,1.0,2,,,,02-0000039708,2,,1,2,,2005-0101-055,03-013814,70526,,204768.476545612,544669.614723434,1.0,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(204768.476545612,544669.614723434,204765.854299458,544676.105010416)),112.0,2,0.0,ㅼ궗605447,MULTIPOINT (127.0539275821433 37.50147877687044)
2718,1,02-0000039691,1,7,1,2,4727.0,20031231,20041120,410.0,680,1.0,10600,1011-12 도,,410,1,2,2,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(204751.173877264,544680.137845122,NULL),NULL,NULL),5105182.0,,211208,2003-0101-027,02-039691,3.0,,,03-0000013809,1.0,3.0,7.0,1.0,2,,,,02-0000039691,2,,1,2,,2005-0101-055,03-013809,56743,,204751.173877264,544680.137845122,2.0,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(204751.173877264,544680.137845122,204753.908995163,544673.694311148)),293.0,2,0.0,ㅼ궗605447,MULTIPOINT (127.053731971093 37.50157367994169)
2719,1,02-0000138033,1,6,1,2,0.0,20051230,20060203,340.0,650,1.0,10800,,,340,1,2,2,1,105,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(201682.664396102,542717.860507236,NULL),NULL,NULL),4141092.0,,209846,2005-1101-124,02-138033,1.0,,,03-0000047296,1.0,3.0,7.0,1.0,1,,,,02-0000138033,2,,1,2,,2005-0101-062,03-047296,85824,,201682.664396102,542717.860507236,,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(201682.664396102,542717.860507236,201688.901441771,542721.038440734)),27.0,2,0.0,ㅼ궗574428,MULTIPOINT (127.0190251048373 37.48390410740878)
2720,1,02-0000138033,1,6,1,2,0.0,20051230,20060203,340.0,650,1.0,10800,,,340,1,2,2,1,105,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(201682.664396102,542717.860507236,NULL),NULL,NULL),4141092.0,,209846,2005-1101-124,02-138033,1.0,,,03-0000047295,1.0,3.0,6.0,1.0,1,1.0,,,02-0000138033,2,,1,2,,2005-0101-062,03-047295,85820,,201682.664396102,542717.860507236,,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(201682.664396102,542717.860507236,201685.754624551,542712.717503432)),301.0,4,2.0,ㅼ궗574428,MULTIPOINT (127.0190251048373 37.48390410740878)
2721,1,02-0000018315,1,7,1,2,1103.0,20000101,20090926,340.0,650,1.0,10800,1623-2대,,340,1,2,2,1,105,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(201310.499686959,542793.627469511,NULL),NULL,NULL),4132204.0,,209847,2009-0701-003,02-018315,1.0,,,03-0000009672,1.0,3.0,13.0,1.0,2,,,,02-0000018315,2,,1,2,,2009-0701-003,03-009672,28950,,201310.499686959,542793.627469511,2.0,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(201310.499686959,542793.627469511,201307.354702316,542806.241313953)),104.0,2,0.0,ㅼ궗571429,MULTIPOINT (127.014817346283 37.48458737682474)
2722,1,02-0000018315,1,7,1,2,1103.0,20000101,20090926,340.0,650,1.0,10800,1623-2대,,340,1,2,2,1,105,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(201310.499686959,542793.627469511,NULL),NULL,NULL),4132204.0,,209847,2009-0701-003,02-018315,1.0,,,03-0000056690,1.0,2.0,,1.0,7,,,,02-0000018315,2,,1,2,,2009-0701-003,03-056690,28951,,201310.499686959,542793.627469511,2.0,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(201310.499686959,542793.627469511,201310.498562204,542793.632341361)),103.0,1,0.0,ㅼ궗571429,MULTIPOINT (127.014817346283 37.48458737682474)
2723,1,02-0000018329,1,6,1,2,1107.0,20000101,20011101,340.0,650,1.0,10800,1334대,,340,1,2,2,1,105,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(202073.738976297,543081.169240286,NULL),NULL,NULL),4142762.0,,209848,2008-1101-014,02-018329,1.0,,,03-0000012163,1.0,3.0,9.0,1.0,2,,,,02-0000018329,2,,1,2,,2008-0201-003,03-012163,40728,,202073.738976297,543081.169240286,2.0,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(202073.738976297,543081.169240286,202077.110435638,543072.824585595)),292.0,1,0.0,ㅼ궗578432,MULTIPOINT (127.0234478262125 37.48717675436567)
2724,1,02-0000018329,1,6,1,2,1107.0,20000101,20011101,340.0,650,1.0,10800,1334대,,340,1,2,2,1,105,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(202073.738976297,543081.169240286,NULL),NULL,NULL),4142762.0,,209848,2008-1101-014,02-018329,1.0,,,03-0000001223,1.0,2.0,999.0,1.0,7,,,,02-0000018329,2,,1,2,,2008-0201-003,03-001223,40727,,202073.738976297,543081.169240286,2.0,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(202073.738976297,543081.169240286,202073.74084933,543081.164604367)),292.0,1,0.0,ㅼ궗578432,MULTIPOINT (127.0234478262125 37.48717675436567)
2725,1,02-0000037911,6,7,1,2,1138.0,20000101,20000101,340.0,650,1.0,11000,산10임,,340,1,2,2,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(204125.90625,540378.468750001,NULL),NULL,NULL),,,209857,2008-0201-004,02-037911,1.0,,,03-0000013182,1.0,3.0,9.0,1.0,2,2.0,,,02-0000037911,2,,1,2,,2008-0201-004,03-013182,71371,,204125.90625,540378.468750001,1.0,,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(204125.90625,540378.468750001,204130.675523378,540386.101182866)),58.0,3,3.0,ㅼ궗599404,MULTIPOINT (127.0466366013834 37.46281827840769)
