,Unnamed: 0,고정형CCTV지번주소,위도,경도,자치구,단속지점명,현장구분
199,199,서초2동 1376-3,37.48419329,127.0323335,서초구,서초구청주변,불법주정차구역
200,200,서초3동 1483-18,37.4830193,127.0104736,서초구,서초더샵오데움주변,불법주정차구역
201,201,서초1동 1444-1,37.48509099,127.0184669,서초구,서초1동 우체국주변,불법주정차구역
202,202,서초4동 1686-9,37.49796638,127.018182,서초구,서초래미안109동주변,불법주정차구역
203,203,서초3동 1500-1,37.49131495,127.006213,서초구,로얄프라자주변,불법주정차구역
204,204,양재1동 25,37.48231903,127.0362177,서초구,서초문화예술회관 주변,불법주정차구역
205,205,반포4동 54-9,37.50114035,127.009326,서초구,서초성모어린이집주변,불법주정차구역
206,206,양재1동 763,37.45671669,127.0164729,서초구,서초스타힐스입구주변,불법주정차구역
207,207,서초3동 1583-10,37.48546276,127.0123349,서초구,서초아트자이102동주변,불법주정차구역
208,208,방배3동 1027-6,37.47459985,127.0005979,서초구,서초어린이집주변,불법주정차구역
209,209,서초3동 1542-1,37.49206387,127.0084448,서초구,서초역1번출구주변,불법주정차구역
210,210,서초3동 1500-2,37.49162895,127.0069246,서초구,서초역4번출구주변,불법주정차구역
211,211,서초1동 1642-22,37.49140089,127.0170717,서초구,서초연꽃어린이집주변,불법주정차구역
212,212,서초2동 1331-1,37.49394031,127.0266797,서초구,서초우성2차 18동 주변,불법주정차구역
213,213,서초2동 1326-17,37.49582212,127.0267202,서초구,서초우성5차 501동 주변,불법주정차구역
214,214,양재2동 324-2,37.46964115,127.0414222,서초구,서초우체국 주변,불법주정차구역
215,215,양재1동 769,37.45625856,127.0165468,서초구,서초유치원주변,불법주정차구역
216,216,서초4동 1687-2,37.49585414,127.0194282,서초구,서초중앙프라자 주변,불법주정차구역
217,217,서초4동 1307-6,37.49897722,127.025205,서초구,서초초교 주변,불법주정차구역
218,218,신원동 286,37.44878126,127.0554108,서초구,서초포레스타6단지주변,불법주정차구역
219,219,서초4동 1302-4,37.50219187,127.021769,서초구,서초푸르지오서밋 주변,불법주정차구역
1053,1053,서초3동 1529,37.4857258,127.0098245,서초구,e편한세상 201동 주변,불법주정차구역
1054,1054,서초4동 1685-8,37.4949808,127.0165433,서초구,Gfive(지파이브) 주변,불법주정차구역
1095,1095,서초2동 1338,37.49120473,127.0294965,서초구,ESA아파트 주변,불법주정차구역
1096,1096,서초4동 1302-6,37.50246377,127.0226086,서초구,삼호아파트 주변,불법주정차구역
1097,1097,서초3동 1002-17,37.47987679,127.0058646,서초구,삼화나띠르빌APT주변,불법주정차구역
1098,1098,반포4동 73-2,37.49811948,127.0005495,서초구,상지리츠빌주변,불법주정차구역
1099,1099,서초4동 1695-12,37.49493215,127.0153078,서초구,삼풍약국 주변,불법주정차구역
1100,1100,잠원동 17-2,37.51506795,127.0162454,서초구,새롬빌딩 주변,불법주정차구역
1101,1101,내곡동 (염곡동) 180-2,37.46158029,127.0505022,서초구,내곡동 새마을금고,불법주정차구역
1102,1102,방배3동 981-24,37.48078898,126.9956571,서초구,새성민유치원주변,불법주정차구역
1103,1103,방배4동 857-1,37.48848533,126.9883283,서초구,새순유치원주변,불법주정차구역
1104,1104,반포4동 95-9,37.49783533,126.9983086,서초구,서래약국 주변,불법주정차구역
1105,1105,방배본동 772-1,37.49615028,126.9882592,서초구,서래초등학교 주변,불법주정차구역
1137,1137,방배4동 811-1,37.49222483,126.9908557,서초구,GS칼텍스 부근,불법주정차구역
1138,1138,방배3동 1001-1,37.48228281,127.0022597,서초구,KT서초지사 주변,불법주정차구역
1139,1139,서초3동 1599-2,37.4863985,127.0142853,서초구,LG에클라트 주변,불법주정차구역
1140,1140,양재2동 221,37.46090382,127.0358795,서초구,LG연구센터우측주변,불법주정차구역
1141,1141,양재2동 221,37.46211515,127.0343153,서초구,LG연구센터좌측주변,불법주정차구역
1142,1142,서초2동 1364-54,37.48480587,127.0310439,서초구,LG전자 강남센터어린이집주변,불법주정차구역
1143,1143,양재1동 (우면동) 791,37.45957652,127.0248309,서초구,LH서초5단지주변,불법주정차구역
1144,1144,반포4동 46,37.49879636,127.010581,서초구,MV서초아파트 주변,불법주정차구역
1145,1145,서초4동 1309,37.50271071,127.0234189,서초구,강남I-PARK애비뉴 주변,불법주정차구역
1146,1146,서초4동 1302-52,37.50385512,127.0228887,서초구,GS삼방주유소 주변,불법주정차구역
1147,1147,반포4동 75-1,37.4977844,126.9990388,서초구,강남교회주변,불법주정차구역
1148,1148,반포4동 505,37.50110782,127.0038011,서초구,강남성모병원정문 주변,불법주정차구역
1149,1149,반포4동 505,37.50274197,127.0050722,서초구,강남성모병원후문 주변,불법주정차구역
1150,1150,서초2동 1320-39,37.4976736,127.0269589,서초구,강남역8번출구 주변,불법주정차구역
1171,1171,서초4동 1306-8,37.49947239,127.0267798,서초구,강남역대동빌딩 주변,불법주정차구역
1172,1172,서초3동 1456-2,37.4841529,127.0147232,서초구,경남아너스빌201동 주변,불법주정차구역
1173,1173,반포4동 19-6,37.50705972,127.0077854,서초구,경부선주차장주변,불법주정차구역
1174,1174,잠원동 66-1,37.51127593,127.0099913,서초구,경원중학교주변,불법주정차구역
1175,1175,반포2동 6-1,37.50492977,126.9959736,서초구,계성초교 주변,불법주정차구역
1176,1176,방배4동 830-3,37.48950686,126.9876552,서초구,고려빌딩주변,불법주정차구역
1177,1177,반포4동 19-13,37.50640284,127.0058017,서초구,고속터미널경부선상가앞주변,불법주정차구역
1178,1178,반포3동 75-21,37.50610388,127.0043935,서초구,고속터미널역 8-1번출구주변,불법주정차구역
1179,1179,서초1동 1673-7,37.49374932,127.0158404,서초구,교대역동측주차장1주변,불법주정차구역
1180,1180,서초1동 1658-1,37.49314904,127.0145739,서초구,교대주차장2(창성빌딩)주변,불법주정차구역
1181,1181,서초4동 1303-16,37.50297669,127.0240678,서초구,교보타워뒷길주변,불법주정차구역
1182,1182,서초4동 1303-46,37.50414217,127.0235553,서초구,교보타워주변,불법주정차구역
1183,1183,서초1동 1656-1,37.49220139,127.0139465,서초구,교대역13.14번출구 주변,불법주정차구역
1184,1184,반포4동 59-6,37.50376375,127.0088094,서초구,교통신문사 주변,불법주정차구역
1185,1185,양재2동 399,37.47186293,127.0487515,서초구,구룡사입구 주변,불법주정차구역
1205,1205,개포동 1231,37.47867,127.04732,강남구,[개포4-102] KB(개포남지점) 주변,불법주정차구역
1206,1206,논현동 7-15,37.51933,127.02797,강남구,[논현1-103] 강남을지병원앞R 주변,불법주정차구역
1207,1207,논현동 4,37.51696,127.02203,강남구,[논현1-105] 에메랄드타워 주변,불법주정차구역
1208,1208,양재2동 402-14,37.47085484,127.0491642,서초구,구룡유치원주변,불법주정차구역
1209,1209,반포1동 32-13,37.50282319,127.0126308,서초구,구립반포도서관주변,불법주정차구역
1210,1210,서초2동 1330-8,37.49255307,127.0282935,서초구,구립서초어린이도서관 주변,불법주정차구역
1211,1211,서초4동 1308-18,37.50025505,127.0246023,서초구,구사랑의교회 주변,불법주정차구역
1212,1212,방배2동 421-1,37.48548725,126.9831825,서초구,구산타워 주변,불법주정차구역
1213,1213,서초2동 1376-2,37.48407751,127.0310885,서초구,국립외교원주변,불법주정차구역
1214,1214,반포4동 산94-4,37.49641367,127.0026648,서초구,국립학술원주변,불법주정차구역
1215,1215,서초4동 1689-4,37.49552033,127.0182961,서초구,국민은행서초 주변,불법주정차구역
1216,1216,방배4동 1669,37.48741979,126.9823927,서초구,국민은행이수 주변,불법주정차구역
1217,1217,서초1동 1445,37.48515592,127.0172077,서초구,국제전자센터 주변,불법주정차구역
1218,1218,방배3동 1023-1,37.47879496,126.9994309,서초구,기업은행방배 주변,불법주정차구역
1219,1219,서초3동 1446-1,37.48448162,127.0165569,서초구,남부버스터미널 주변,불법주정차구역
1220,1220,방배본동 760-2,37.49533813,126.9858698,서초구,남부종합시장입구주변,불법주정차구역
1221,1221,서초3동 1446-1,37.48489554,127.0156534,서초구,남부터미널5번출구주변,불법주정차구역
1222,1222,양재1동 763,37.45702383,127.0155593,서초구,남서울농협주차장입구주변,불법주정차구역
1223,1223,잠원동 13-6,37.51619096,127.0192446,서초구,남서울주유소주변,불법주정차구역
1224,1224,서초3동 1715-10,37.49342027,127.0124467,서초구,남촌빌딩 주변,불법주정차구역
1227,1227,내곡동 96-20,37.46290428,127.0515053,서초구,나래학교,불법주정차구역
1228,1228,방배4동 872-9,37.48744057,126.9928137,서초구,내방역5번출구 주변,불법주정차구역
1229,1229,양재1동 720,37.46463383,127.0259785,서초구,네이처힐 4단지 402동 부근,불법주정차구역
1230,1230,반포4동 107-1,37.49950556,126.996955,서초구,넥스덴치과 주변,불법주정차구역
1231,1231,방배4동 851-16,37.48999967,126.9931369,서초구,늘푸른어린이집주변,불법주정차구역
1232,1232,방배3동 482-2,37.4758341,126.988812,서초구,대림사조주변,불법주정차구역
