,gid,geometry
5007,ㅼ궗615396,MULTIPOINT (127.0652386147801 37.45518045616218)
5008,ㅼ궗608386,MULTIPOINT (127.0568761550927 37.44636194838664)
5009,ㅼ궗607386,MULTIPOINT (127.0566605376052 37.44631718916146)
5010,ㅼ궗607386,MULTIPOINT (127.0566605376052 37.44631718916146)
5011,ㅼ궗610398,MULTIPOINT (127.0598891885639 37.45734879225592)
5012,ㅼ궗612395,MULTIPOINT (127.0619960972304 37.45436923367446)
5013,ㅼ궗647407,MULTIPOINT (127.1014371615008 37.46503622049286)
5014,ㅼ궗647407,MULTIPOINT (127.1014371615008 37.46503622049286)
5015,ㅼ궗583466,MULTIPOINT (127.0287404191607 37.5180169574261)
5016,ㅼ궗583466,MULTIPOINT (127.0287404191607 37.5180169574261)
5017,ㅼ궗647407,MULTIPOINT (127.1017372076357 37.46555673054119)
5018,ㅼ궗647407,MULTIPOINT (127.1017372076357 37.46555673054119)
5019,ㅼ궗606389,MULTIPOINT (127.0555418939429 37.44854281943294)
5020,ㅼ궗606389,MULTIPOINT (127.0555418939429 37.44854281943294)
5021,ㅼ궗606389,MULTIPOINT (127.0555284806519 37.44874011382356)
5022,ㅼ궗606389,MULTIPOINT (127.0555284806519 37.44874011382356)
5023,ㅼ궗606389,MULTIPOINT (127.0554070792203 37.44867638999317)
5024,ㅼ궗599453,MULTIPOINT (127.047319955651 37.50698593322201)
5025,ㅼ궗617434,MULTIPOINT (127.0678861170429 37.48932076289076)
5026,ㅼ궗617434,MULTIPOINT (127.0678861170429 37.48932076289076)
5027,ㅼ궗594414,MULTIPOINT (127.0414964976587 37.47110500776393)
5028,ㅼ궗594414,MULTIPOINT (127.0414964976587 37.47110500776393)
5029,ㅼ궗616441,MULTIPOINT (127.0663122650632 37.49558885106644)
5030,ㅼ궗542415,MULTIPOINT (126.9828047141234 37.47186098819941)
5031,ㅼ궗542415,MULTIPOINT (126.9828047141234 37.47186098819941)
5032,ㅼ궗599454,MULTIPOINT (127.0470002024751 37.50719471461843)
5033,ㅼ궗599454,MULTIPOINT (127.0470002024751 37.50719471461843)
5034,ㅼ궗617434,MULTIPOINT (127.0677660714728 37.48943435612301)
5035,ㅼ궗617434,MULTIPOINT (127.0677660714728 37.48943435612301)
5036,ㅼ궗655420,MULTIPOINT (127.1104287275994 37.47701055767871)
5037,ㅼ궗655420,MULTIPOINT (127.1104287275994 37.47701055767871)
5038,ㅼ궗601403,MULTIPOINT (127.0496425977832 37.46171998427738)
5039,ㅼ궗599454,MULTIPOINT (127.0472689767187 37.50704079850426)
