gid,acci_cnt,2030val,과속방지턱,무인카메라,신호등,버스아침승차,버스아침하차,버스저녁승차,버스저녁하차,관광여가오락,부동산,생활서비스,소매점,숙박,스포츠,음식점,학교,교육,출근시간자전거,퇴근시간자전거,지하철아침승차,지하철아침하차,지하철저녁승차,지하철저녁하차
다사613445,0.5,0,0,0,0.133333333,0.026750236,0.12199843,0.314439126,0.226373888,0.076923077,0.035714286,0.078431373,0.026239067,0,0,0.059760956,0,0.115384615,0.231958763,0.144631766,0,0,0,0
다사613446,0.5,0.042168675,0,0,0,0,0,0,0,0,0,0.058823529,0.005830904,0,0,0.023904382,0,0.096153846,0.167525773,0.103371783,0,0,0,0
다사619457,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778350515,0.374889086,0,0,0,0
다사648432,0.5,0.024096386,0,0,0.166666667,0.047727535,0.189240471,0.319936391,0.209798974,0.076923077,0.464285714,0.568627451,0.172011662,0,0,0.266932271,0,0.076923077,0.427835052,0.166370896,0,0,0,0
다사579454,0,0.077309237,0,0,0,0,0,0,0,0.307692308,0,0.098039216,0.011661808,0,0,0.143426295,0,0,0.056701031,0.044365572,0,0,0,0
다사613448,0,0.06626506,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0,0,0.211340206,0.143744454,0,0,0,0
다사585452,0,0,0,0,0,0,0,0,0,0.076923077,0,0.058823529,0.008746356,0.4,0,0.027888446,0,0,0.108247423,0.083850932,0,0,0,0
다사583456,0,0.227911647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069587629,0.062999113,0,0,0,0
다사592432,0,0.085341365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097938144,0.054569654,0,0,0,0
다사597458,0,0.029116466,0,0,0,0,0,0,0,0,0.035714286,0.117647059,0.014577259,0,0,0.051792829,0.5,0.038461538,0.043814433,0.037710736,0,0,0,0
다사595438,0,0,0,0,0.133333333,0.042980018,0.213712187,0.228242976,0.279515455,0.076923077,0.035714286,0.019607843,0.002915452,0,0,0.011952191,0,0,0.219072165,0.101153505,0,0,0,0
다사638410,0,0.072289157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010309278,0.002218279,0,0,0,0
다사575466,0,0,0,0,0,0,0,0,0,0.076923077,0.035714286,0.058823529,0.017492711,0,0,0.03187251,0,0.019230769,0.079896907,0.077196096,0,0,0,0
다사585454,0,0.157630522,0,0,0,0,0,0,0,0,0.035714286,0.019607843,0.002915452,0,0,0.023904382,0,0.019230769,0.033505155,0.028837622,0,0,0,0
다사628425,0,0.021084337,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0.018041237,0.014640639,0,0,0,0
다사584464,0,0.013052209,0,0,0.1,0,0,0,0,0,0,0.019607843,0.005830904,0,0,0.043824701,0,0,0.06185567,0.062555457,0,0,0,0
다사581459,0,0.158634538,0,0,0,0,0,0,0,0,0,0.039215686,0.011661808,0,0,0.007968127,0,0,0.038659794,0.043478261,0,0,0,0
다사603445,0,0.045180723,0,0,0.033333333,0.015624972,0.049457197,0.074456134,0.131333348,0,0.071428571,0.019607843,0.017492711,0,0,0.015936255,0,0.038461538,0.18814433,0.094942325,0,0,0,0
다사636413,0,0.195783133,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0,0,0.00257732,0.001774623,0,0,0,0
다사598450,0,0,0,0,0.1,0,0,0,0,0.076923077,0.25,0.117647059,0.04664723,0,0,0.087649402,0,0,0.265463918,0.101597161,0,0,0,0
다사586459,0,0.034136546,0,0,0,0,0,0,0,0,0,0.039215686,0,0,0,0.015936255,0,0,0.118556701,0.13487134,0,0,0,0
다사592435,0,0.133534137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0.136597938,0.049689441,0,0,0,0
다사591462,0,0.101405622,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0,0,0.118556701,0.101597161,0,0,0,0
다사601437,0,0.049196787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113402062,0.057231588,0,0,0,0
다사596460,0,0.050200803,0,0,0.1,0.020364311,0.066586854,0.06683993,0.088586252,0,0.035714286,0.078431373,0.011661808,0,0,0.019920319,0,0.019230769,0.036082474,0.037710736,0,0,0,0
다사612440,0,0.078313253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0.278350515,0.154835847,0,0,0,0
다사579456,0,0.154618474,0,0,0,0,0,0,0,0,0,0.039215686,0.032069971,0,0,0.091633466,0,0.019230769,0.051546392,0.049245785,0,0,0,0
다사595445,0,0.159638554,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0,0,0.226804124,0.071872227,0,0,0,0
