,gid,acci_cnt,lm_nb.step
310,다사617446,0.0,0.00791315253652892
311,다사589460,0.0,0.0078284478192689
312,다사564458,0.0,0.00782515666999456
313,다사611395,0.0,0.00779066446022656
314,다사561427,0.0,0.00778690134828105
315,다사594429,0.0,0.00777067044287527
316,다사552452,0.0,0.00769119984003844
317,다사593474,0.0,0.00761958403811977
318,다사561446,0.0,0.00760335060578534
319,다사648433,0.0,0.00759008060374727
320,다사581432,0.0,0.00757565143275089
321,다사616433,0.0,0.00755488116564826
322,다사573469,0.0,0.00754656677093585
323,다사596424,0.0,0.0075168210904452
324,다사552439,0.0,0.00750970061891231
325,다사583470,0.0,0.00745555122406156
326,다사594477,0.0,0.00739613478554862
327,다사592477,0.0,0.00738246920389765
328,다사610443,0.0,0.00738207973797058
329,다사581445,0.0,0.00736770432915653
330,다사617463,0.0,0.00735830115773591
331,다사568464,0.0,0.00735251871837701
332,다사593440,0.0,0.00730749376883245
333,다사606442,0.0,0.007304426373351
334,다사639425,0.0,0.00730033236997688
335,다사578465,0.0,0.00728181644767793
336,다사603447,0.0,0.00725280125795182
337,다사589478,0.0,0.00723843412983447
338,다사553451,0.0,0.00721598174220823
339,다사580480,0.0,0.0072122413182746
340,다사587431,0.0,0.00720532120292629
341,다사593476,0.0,0.00720321641225774
342,다사589426,0.5,0.00719761466450166
343,다사606436,0.0,0.00718014189273748
344,다사604418,0.0,0.00716337676663543
345,다사602473,0.0,0.00715920534222586
346,다사591455,0.0,0.00712652987948661
347,다사566451,0.0,0.00712016365071819
348,다사604390,0.0,0.00708992187938344
349,다사584439,0.0,0.00707759815524533
350,다사559452,0.0,0.00706483597257809
351,다사572429,0.0,0.00702793267339263
352,다사607476,0.0,0.00699123669392457
353,다사542427,0.0,0.00698855989729239
354,다사610396,0.0,0.00697877044136665
355,다사569424,0.0,0.00695763388752108
356,다사617454,0.0,0.00695370111276204
357,다사556451,0.0,0.00694596220273291
358,다사555446,0.0,0.00692619508682958
359,다사592472,0.0,0.00692470784766732
360,다사606471,0.0,0.00691269799507101
361,다사640428,0.0,0.0068816115471345
362,다사604462,0.0,0.00687644620839474
363,다사586443,0.0,0.00686699540629901
364,다사603464,0.5,0.00686241523401698
365,다사642407,0.0,0.00684405690592027
366,다사600471,0.0,0.00680756492689954
367,다사591417,0.0,0.00680502957844371
368,다사587454,0.0,0.00679459705656004
369,다사571433,0.0,0.00679016192711297
370,다사600466,0.0,0.00677633475561508
371,다사606426,0.0,0.00677019388210161
372,다사617460,0.0,0.0067632986187531
373,다사647431,0.0,0.00669641279150766
374,다사594436,0.0,0.00669402993489919
375,다사592417,0.0,0.00669364497247411
376,다사580445,0.0,0.00668074170789007
377,다사598430,0.0,0.00667836810399897
378,다사589466,0.0,0.00665980929395269
379,다사550435,0.0,0.00665541580200152
380,다사612450,0.0,0.006631305967644
381,다사544432,0.0,0.00663042395018136
382,다사568447,0.0,0.00661755091961791
383,다사563422,0.0,0.00660658744597122
384,다사587474,0.0,0.00660357812208501
385,다사619441,0.0,0.00660021215760039
386,다사586441,0.0,0.00658554732742696
387,다사596408,0.0,0.00657482419749935
388,다사545450,0.0,0.00654957201899091
389,다사617455,0.0,0.00654184233384938
390,다사591456,0.0,0.00654063729256256
391,다사584429,0.0,0.00652633007689766
392,다사563436,0.0,0.00650982217894701
393,다사572434,0.0,0.00649465612642406
394,다사593411,0.0,0.00649372890326479
395,다사615423,0.0,0.00648599263212663
396,다사634441,0.0,0.00647479256108269
397,다사543443,0.0,0.00646647312159909
398,다사595472,0.0,0.00645887815782672
399,다사608454,0.5,0.00645663655371172
400,다사587411,0.0,0.00639527949417121
401,다사625438,0.0,0.00635948265525218
402,다사556442,0.0,0.00635250633262494
403,다사589455,0.5,0.00635004019605991
404,다사625444,0.0,0.00634573549689916
405,다사589419,0.0,0.00634356061111191
406,다사590471,0.0,0.00633767444412546
407,다사576442,0.0,0.00632501405945776
408,다사596471,0.0,0.00632351174989832
409,다사604442,0.0,0.00629298837089838
410,다사594451,0.0,0.00629115277976558
411,다사578466,0.0,0.00628885042478359
412,다사582410,0.0,0.00628518773014622
413,다사547422,0.0,0.00625733417095998
414,다사642415,0.0,0.00623002815152934
415,다사634430,0.0,0.00622348749115871
416,다사595423,0.0,0.00620908096572005
417,다사541424,0.0,0.00619753699214722
418,다사593470,0.0,0.00615153604695443
419,다사608388,0.0,0.00613522980106051
420,다사588485,0.0,0.0060823142854165
421,다사568467,0.0,0.00607504867470477
422,다사542423,0.0,0.00602786111644484
423,다사558451,0.0,0.0060118173724736
424,다사592413,0.0,0.00599500266958531
425,다사573472,0.0,0.00599422830529976
426,다사628426,0.0,0.00599416437935694
427,다사610394,0.0,0.00598439818107511
428,다사593447,0.0,0.00597870581120219
429,다사566438,0.0,0.00597778351672763
430,다사599466,0.0,0.00597322120407841
431,다사605390,0.0,0.0059595993650485
432,다사604463,0.0,0.00593407323160275
433,다사569441,0.5,0.0059260638054285
434,다사624430,0.0,0.00591370016175125
435,다사571448,0.0,0.00590337724915431
436,다사658422,0.0,0.00588904140403385
437,다사541421,0.0,0.0058423093488611
438,다사636425,0.0,0.00583178118487752
439,다사583431,0.0,0.00582662404380921
440,다사577472,0.0,0.00582361676968367
441,다사612438,0.0,0.00582336922859791
442,다사602414,0.0,0.00582002734768927
443,다사646416,0.0,0.00580750474852411
444,다사576431,0.0,0.00579637402799739
445,다사552454,0.0,0.00579054535751438
446,다사653406,0.0,0.00578570032572203
447,다사598405,0.0,0.00578416316997078
448,다사584464,0.0,0.00575724000763851
449,다사622443,0.0,0.00575698427908676
450,다사595449,0.0,0.0057491112410715
451,다사641426,0.0,0.00574253436614957
452,다사562427,0.0,0.00571675359245276
453,다사577427,0.0,0.00571211398823995
454,다사594438,0.0,0.00570044600000296
455,다사579442,0.0,0.00568242624806454
456,다사634439,0.0,0.00568176718433434
457,다사583430,0.0,0.00566857116832611
458,다사561431,0.0,0.00566334053938539
459,다사590455,0.0,0.00565832711308829
460,다사612462,0.0,0.00565550581764889
461,다사600440,0.0,0.00564539320162267
462,다사607388,0.0,0.00563392271447775
463,다사596425,0.0,0.00562495888368111
464,다사603394,0.0,0.00561248010962211
465,다사595480,0.0,0.00560356506769315
466,다사652416,0.0,0.0055944895909543
467,다사605392,0.0,0.00559271470854757
468,다사574471,0.5,0.00556960756017417
469,다사607454,0.0,0.00556456954871033
470,다사614455,0.0,0.00552492177338917
471,다사592471,0.0,0.00551413934187388
472,다사599429,0.0,0.00550879092397915
473,다사605391,0.0,0.00549624414324697
474,다사550444,0.0,0.00548857541515156
475,다사594472,0.0,0.00547761402501023
476,다사585417,0.0,0.00547138162462018
477,다사586439,0.0,0.0054541668989157
478,다사557456,0.0,0.00545340093502461
479,다사551435,0.0,0.00543648807354143
480,다사563421,0.0,0.00543444631941028
481,다사563461,0.0,0.00543164928381073
482,다사581441,0.0,0.00542835583087453
483,다사630433,0.0,0.00542323474717501
484,다사580481,0.0,0.00539466436849073
485,다사651426,0.0,0.00539037003828351
486,다사613396,0.0,0.00538312268779802
487,다사618447,0.0,0.00538198930140983
488,다사640410,0.0,0.00537401278801003
