"","pre"
"223",-5.06348056851476
"224",-5.65621344489467
"225",-4.9810286182976
"226",-5.86425838053576
"227",-6.16475811913112
"228",-5.17049297063583
"229",-4.56370997440217
"230",-5.84935167271891
"231",-4.42578878775295
"232",-5.23350983606129
"233",-5.48932896152388
"234",-5.52965662606612
"235",-6.28751265236579
"236",-1.55730100630367
"237",-4.93935628989239
"238",-6.42684283220573
"239",-6.41138507032697
"240",-5.5246621794981
"241",-5.51118287346716
"242",-5.57092543499833
"243",-5.4459631875137
"244",-3.68737943310369
"245",-5.77797536557669
"246",-5.22800730820718
"247",-6.30153321964098
"248",-5.7502651043481
"249",-3.87829606683895
"250",-5.94187315545335
"251",-5.68101556483923
"252",-3.74400476907032
"253",-5.84474010771125
"254",-6.02702244095663
"255",-6.22709675240239
"256",-5.94854638226566
"257",-4.92636750433469
"258",-6.46143571077408
"259",-5.49057578400192
"260",-4.66464863586279
"261",-3.73458322536264
"262",-5.2312961602776
"263",-5.88083354829797
"264",-5.71160301094046
"265",-6.0250156293534
"266",-4.50992703939313
"267",-5.53612551127072
"268",-4.59889884070425
"269",-6.28937723226286
"270",-7.17135573115289
"271",-6.3640530278781
"272",-6.23795396184357
"273",-6.03168495299268
"274",-6.37981731461919
"275",-3.9100947058078
"276",-5.36236946838406
"277",-5.80615007213282
"278",-5.65234557586786
"279",-5.65028659617478
"280",-6.26719058396598
"281",-6.15162032585649
"282",-5.93591056297986
"283",-5.8688958202976
"284",-6.56136656416377
"285",-5.01595351565412
"286",-5.6987944754777
"287",-5.83946705041841
"288",-6.87014905128313
"289",-3.42799792644047
"290",-7.46241298450887
"291",-6.16362341718321
"292",-6.8714873841896
"293",-6.80975354505725
"294",-6.06536757849609
"295",-6.31302739656138
"296",-5.70582382755582
"297",-5.25313377999125
"298",-6.37190579892221
"299",-6.67581922496106
"300",-4.81288214799583
"301",-6.16897942587314
"302",-3.59249261863971
"303",-6.02676295901898
"304",-5.95435668793864
"305",-5.66142470445623
"306",-5.55755707417409
"307",-6.00266684780421
"308",-5.02287782994074
"309",-6.12871576437686
"310",-6.43323549934488
"311",-4.50807263208508
"312",-5.90443173533974
"313",-6.94198541026164
"314",-6.00394823182641
"315",-5.67837842580102
"316",-5.45706737739422
"317",-5.95973097394617
"318",-4.6216424473042
"319",-5.91545744458127
"320",-6.15237900695674
"321",-6.6378994195157
"322",-4.74547848001658
"323",-5.46828501893751
"324",-5.12704441617162
"325",-4.22102986581635
"326",-5.25832980841605
"327",-5.4620665696934
"328",-7.07738069185914
"329",-5.41348522767906
"330",-4.90864711585639
"331",-5.47280304067657
"332",-5.78802206031337
"333",-5.02972067291514
"334",-4.91927476207243
"335",-5.47287988634068
"336",-5.70715112502208
"337",-5.81843953053366
"338",-5.1195511539739
"339",-6.65018032730703
"340",-6.12588075900721
"341",-5.42725985120245
"342",-4.7329469914481
"343",-5.94362832255969
"344",-5.63736370987226
"345",-4.93293546996681
"346",-3.02990085709406
"347",-2.80426368649935
"348",-3.3814871604156
"349",-2.75410575924982
"350",-5.18597316730467
"351",-6.50012385672682
"352",-4.66003588963374
"353",-4.42889537341476
"354",-5.20708566973155
"355",-4.83155359981389
"356",-5.34462561225351
"357",-5.96836328686289
"358",-4.72456232827296
"359",-6.1708144438114
"360",-4.79238991772393
"361",-4.44183503272342
"362",-5.26331262902404
"363",-6.17477387302839
"364",-5.70178737963715
"365",-6.15344906029788
"366",-5.22234489379385
"367",-6.11632364920468
"368",-3.86020311313653
"369",-6.0500649572723
"370",-5.81821066291405
"371",-5.39903615177925
"372",-4.29867867117782
"373",-6.59384853532891
"374",-6.49182161055736
"375",-5.96957340582207
"376",-5.1769154289575
"377",-4.39548877671479
"378",-4.08254914293222
"379",-6.14187136257615
"380",-5.48101345164061
"381",-6.09971321651235
"382",-5.95793795033709
"383",-5.59206023003395
"384",-5.59215673303942
"385",-5.22469721452674
"386",-5.03811040706453
"387",-5.88068455062726
"388",-5.11696888648092
"389",-4.29229055701357
"390",-5.75272716322878
"391",-5.8281497447947
"392",-6.28077623553782
"393",-6.48693845747956
"394",-5.07837442748896
"395",-6.00456189667677
"396",-4.90869987275737
"397",-5.84832987019468
"398",-5.21137539383318
"399",-5.76038239631691
"400",-5.22642861322298
"401",-5.8794576743503
"402",-5.07942483946296
"403",-5.27283146393811
"404",-6.7194008891339
"405",-4.1346623830767
"406",-5.2261803891851
"407",-6.04208254091428
"408",-3.53149236422559
"409",-5.54323305140351
"410",-6.16324343141088
"411",-5.26770301160296
"412",-4.98437460827113
"413",-5.0116644293822
"414",-4.92237493585363
"415",-5.26031219428029
"416",-5.77663188718037
"417",-3.26709713126332
"418",-5.4116851329974
"419",-5.21706282473385
"420",-2.67389310085064
"421",-6.14500817458486
"422",-5.40940658048279
"423",-0.508721699119419
"424",-6.97796094534793
"425",-4.54391289141994
"426",-1.4415104282954
"427",-2.61946364365932
"428",-5.06124338474409
"429",-6.59708333716941
"430",-4.00612886936691
"431",-2.96611620801286
"432",-3.15873330486201
"433",-5.86635086985944
"434",-5.93226351161466
"435",-4.28463424930072
"436",-4.93643613389829
"437",-5.92059272444776
"438",-5.61200724090204
"439",-5.26595589345145
"440",-5.86999792122464
"441",-5.79800686052742
"442",-5.33916263793707
"443",-4.78685558476335
"444",-4.18969712141549
"445",-6.13951565286063
"446",-5.77668799790589
"447",-5.02953645076101
"448",-4.18214794851935
"449",-4.51295446939557
"450",-3.52650578060562
"451",-6.1790473206601
"452",-5.95965593154577
"453",-4.58717415935707
"454",-5.55878287139394
"455",-5.4435761999488
"456",-4.64489429264064
"457",-4.93197551354199
"458",-3.99253388478222
"459",-5.80678236422778
"460",-6.10610629335603
"461",-5.97211535945034
"462",-5.83744017611937
"463",-5.76076484547148
"464",-4.45380867892181
"465",-5.89066454562746
"466",-4.84999102371819
"467",-6.14987090973847
"468",-3.50168261495279
"469",-3.56772276244392
"470",-5.31051766137855
"471",-5.60444742099008
"472",-5.62612788113936
"473",-3.5610658551036
