gid,acci_cnt,2030val,과속방지턱,무인카메라,신호등,버스아침승차,버스아침하차,버스저녁승차,버스저녁하차,관광여가오락,부동산,생활서비스,소매점,숙박,스포츠,음식점,학교,교육,출근시간자전거,퇴근시간자전거,지하철아침승차,지하철아침하차,지하철저녁승차,지하철저녁하차
다사594467,1.0,0.21951219512195122,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.24137931034482757,0.11864406779661017,0.0,0.0,0.05970149253731343,0.0,0.0,0.13999999999999999,0.23732057416267943,0.0,0.0,0.0,0.0
다사595463,1.0,0.15609756097560976,0.0,0.0,0.2272727272727273,0.15331328422850704,0.27449692837303513,0.2211955959267054,0.23002803485055034,0.3333333333333333,0.15384615384615385,0.3103448275862069,0.0847457627118644,0.0,0.0,0.44776119402985076,0.0,0.0,0.10999999999999997,0.19617224880382775,0.0,0.0,0.0,0.0
다사596449,1.0,0.0,0.0,0.0,0.18181818181818182,0.04396466454333792,0.24322577523840697,0.1896463480610655,0.05663529341352964,0.0,0.0,0.0,0.11864406779661017,0.0,0.0,0.04477611940298507,0.0,0.0,0.13,0.05645933014354067,0.0,0.0,0.0,0.0
다사601450,1.0,0.07804878048780488,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.5384615384615385,0.6896551724137931,0.1016949152542373,0.0,0.0,0.1044776119402985,0.0,0.0,0.3233333333333333,0.2421052631578947,0.0,0.0,0.0,0.0
다사603464,1.0,0.04390243902439024,0.0,0.0,0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999999999999,0.12727272727272726,0.0,0.0,0.0,0.0
다사606456,1.0,0.11219512195121951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.03389830508474576,0.0,0.5,0.08955223880597014,0.0,0.0,0.09999999999999998,0.08325358851674641,0.0,0.0,0.0,0.0
다사608454,1.0,0.0,0.0,1.0,0.18181818181818182,0.013622417161529508,0.5688424237464128,0.12828871372081235,0.03358830224799992,0.0,0.15384615384615385,0.24137931034482757,0.11864406779661017,0.0,1.0,0.13432835820895522,0.0,0.05555555555555555,0.23999999999999996,0.12631578947368421,0.0,0.0,0.0,0.0
다사608468,2.0,0.0,0.0,0.0,0.6818181818181819,0.36470633062191804,0.3991215357168637,0.16691477598760632,0.5185594256321339,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.029850746268656716,0.0,0.0,0.10666666666666665,0.15598086124401914,0.0,0.0,0.0,0.0
다사609443,1.0,0.058536585365853655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.13793103448275862,0.06779661016949153,0.0,0.0,0.14925373134328357,0.0,1.0,0.09,0.08229665071770335,0.0,0.0,0.0,0.0
다사610452,1.0,0.37073170731707317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.05084745762711865,0.0,0.0,0.2537313432835821,0.0,0.1111111111111111,0.44333333333333325,0.3090909090909091,0.0,0.0,0.0,0.0
