gid,pre,acci_cnt
다사594451,-5.068610953,0
다사578466,-5.068976987,0
다사582410,-5.069559568,0
다사547422,-5.074001036,0
다사642415,-5.078374427,0
다사634430,-5.079424839,0
다사595423,-5.081742387,0
다사541424,-5.083603325,0
다사593470,-5.091053465,0
다사608388,-5.093707744,0
다사588485,-5.102370016,0
다사568467,-5.103565277,0
다사542423,-5.111363038,0
다사558451,-5.114028185,0
다사592413,-5.116829045,0
다사573472,-5.116958222,0
다사628426,-5.116968886,0
다사610394,-5.1185995,0
다사593447,-5.119551154,0
다사566438,-5.119705429,0
다사599466,-5.120468932,0
다사605390,-5.122752021,0
다사601417,-5.126507401,0
다사604463,-5.127044416,0
다사569441,-5.128395063,0.5
다사624430,-5.130483559,0
다사571448,-5.132230677,0
다사658422,-5.134662044,0
다사541421,-5.142629124,0
다사636425,-5.144432805,0
다사583431,-5.145317513,0
다사577472,-5.145833772,0
다사612438,-5.145876279,0
다사602414,-5.146450318,0
다사646416,-5.148604276,0
다사576431,-5.150522725,0
다사552454,-5.151528802,0
다사653406,-5.152365867,0
다사598405,-5.152631584,0
다사584464,-5.157297084,0
다사622443,-5.157341504,0
다사595449,-5.158710003,0
다사641426,-5.159854639,0
다사562427,-5.164354188,0
다사577427,-5.165166098,0
다사594438,-5.167210862,0
다사579442,-5.170376981,0
다사634439,-5.170492971,0
다사583430,-5.172818192,0
다사561431,-5.17374136,0
다사590455,-5.174626994,0
다사612462,-5.175125727,0
다사600440,-5.176915429,0
다사607388,-5.178949327,0
다사596425,-5.18054164,0
다사603394,-5.18276257,0
다사595480,-5.184352265,0
다사652416,-5.185973167,0
다사605392,-5.186290473,0
다사574471,-5.190430684,0.5
다사607454,-5.191335647,0
다사614455,-5.19848619,0
다사592471,-5.200439696,0
다사599429,-5.201410113,0
다사605391,-5.203690303,0
다사550444,-5.205086544,0
다사594472,-5.20708567,0
다사585417,-5.208224112,0
다사586439,-5.211375394,0
다사557456,-5.21151584,0
다사551435,-5.214622001,0
다사563421,-5.214997637,0
다사563461,-5.215512456,0
다사581441,-5.216118984,0
다사630433,-5.217062825,0
다사580481,-5.222344894,0
다사651426,-5.223141244,0
다사613396,-5.224486648,0
다사618447,-5.224697215,0
다사640410,-5.226180389,0
다사584469,-5.226209926,0
다사604434,-5.226428613,0
다사593419,-5.227813779,0
다사586453,-5.228007308,0
다사630434,-5.23129616,0
다사555445,-5.233229426,0
다사595461,-5.233509836,0
다사592464,-5.234242685,0
다사583411,-5.234348115,0
다사600416,-5.23629297,0
다사661417,-5.237729449,0
다사598449,-5.24165629,0
다사600473,-5.24266068,0
다사607461,-5.244339302,0
다사573426,-5.244353281,0
다사607434,-5.24460502,0
다사606388,-5.244958244,0
다사651430,-5.245289269,0
다사599458,-5.247723868,0
다사556441,-5.248663319,0
다사575474,-5.25313378,0
다사569449,-5.253314141,0
다사590478,-5.258329808,0
다사588469,-5.258887881,0
다사602459,-5.258907724,0
다사585461,-5.260312194,0
다사645438,-5.262840276,0
다사608471,-5.263312629,0
다사650427,-5.265955893,0
다사629445,-5.265955893,0
다사578405,-5.266769292,0
다사609456,-5.267643769,0
다사583477,-5.267703012,0
다사579480,-5.268918695,0
다사542424,-5.271710592,0
다사589484,-5.272831464,0
다사595408,-5.272869739,0
다사591422,-5.274293056,0
다사570431,-5.275277441,0
다사641427,-5.275424234,0
다사555452,-5.275794266,0
다사546410,-5.277024125,0
다사566431,-5.281182995,0
다사564421,-5.282450389,0
다사604427,-5.286888235,0
다사588470,-5.286902056,0
다사613455,-5.291284813,0
다사566464,-5.292016687,0
다사595464,-5.293791871,0
다사650418,-5.295935708,0
다사615462,-5.302470751,0
다사559451,-5.310085847,0
다사577473,-5.310517661,0
다사575449,-5.311072792,0
다사609437,-5.3114941,0
다사611445,-5.317508272,0
다사569457,-5.318711116,0
다사633441,-5.320762918,0
다사581408,-5.322457503,0
다사611426,-5.328769398,0
다사608452,-5.328942371,0
다사652419,-5.329822763,0
다사554433,-5.332836432,0
다사643415,-5.335314572,0
다사550428,-5.337839498,0
다사646431,-5.339162638,0
다사613450,-5.340276382,0
다사583432,-5.343441026,0
다사591414,-5.343606841,0
다사598458,-5.344625612,0
다사610449,-5.348305743,0
다사631430,-5.348850738,0
다사541427,-5.348888108,0
다사560457,-5.350369509,0
다사554452,-5.350635226,0
다사613441,-5.354417628,0
다사608431,-5.357663612,0
다사598419,-5.357679108,0
다사545442,-5.361966869,0
다사588436,-5.362369468,0
다사594437,-5.363553468,0
다사545446,-5.364287771,0
다사573472,-5.364608775,0
다사542425,-5.367256371,0
다사616441,-5.367441247,0
다사550436,-5.369392012,0
다사618436,-5.371567568,0
다사604447,-5.373103184,0
다사612435,-5.376848835,0
다사587471,-5.379913308,0.5
다사548422,-5.380333022,0
다사612444,-5.384977674,0.5
다사596417,-5.387879531,0
다사609468,-5.391564794,0
다사543422,-5.392133722,0
다사563440,-5.392251672,0
다사592419,-5.396352601,0
다사578472,-5.397018796,0
다사600458,-5.397517113,0
다사604433,-5.399036152,0
다사584417,-5.401162511,0
다사565435,-5.402826842,0
다사566433,-5.408690094,0
다사648416,-5.40940658,0
다사573471,-5.411685133,0
다사559426,-5.412200526,0
다사578459,-5.413485228,0
다사608384,-5.414981826,0
다사571469,-5.415341284,0
다사566454,-5.415369753,0
다사581475,-5.420498912,0
다사586413,-5.421168298,0
다사589440,-5.422927424,0
다사612458,-5.425476187,0
다사605419,-5.427259851,0
다사612395,-5.432878524,0
다사608385,-5.434209219,0
다사599445,-5.436618915,0
다사617434,-5.439651234,0
다사569463,-5.440199684,0
다사607386,-5.441014359,0
다사590418,-5.442631103,0
다사588454,-5.4435762,0
다사598439,-5.445963188,0
다사557422,-5.446460094,0
다사662408,-5.448308462,0
다사601459,-5.449424658,0
다사616452,-5.451474606,0
다사592463,-5.452879743,0
다사584416,-5.454652598,0
다사653419,-5.455863199,0
다사586458,-5.457067377,0
다사578401,-5.458704896,0
다사594418,-5.460098932,0
다사648407,-5.460821869,0
다사591441,-5.46206657,0
다사570465,-5.463563886,0
다사664412,-5.464164516,0
다사612459,-5.468213785,0
다사596444,-5.468285019,0
다사601403,-5.470492458,0
다사602446,-5.472803041,0
다사616451,-5.472879886,0
다사591418,-5.47581103,0
다사556424,-5.476059895,0
다사592415,-5.477254233,0
다사582443,-5.477332058,0
다사592455,-5.481013452,0
다사587439,-5.486690689,0
다사613440,-5.487843088,0
다사548439,-5.488462441,0
다사639413,-5.489328962,0
다사609444,-5.490575784,0
다사578404,-5.491264668,0
다사571398,-5.493069457,0
다사595462,-5.493149077,0
다사595425,-5.493603519,0
다사628445,-5.495301597,0
다사598475,-5.498773357,0
다사613424,-5.499632898,0
다사613376,-5.499686457,0
다사582467,-5.500534436,0
다사578445,-5.502329983,0
다사659420,-5.503279949,0
다사565462,-5.506677333,0
다사589449,-5.510436907,0
다사634438,-5.511182873,0
다사615396,-5.511409479,0
다사586431,-5.519790962,0
다사541425,-5.52056524,0
다사631429,-5.524662179,0
다사610461,-5.524960603,0
다사593437,-5.525058421,0
다사595413,-5.527091068,0
다사556450,-5.528901444,0
다사614451,-5.529656626,0
다사598450,-5.530434891,0
다사617452,-5.531063762,0
다사590412,-5.531506394,0
다사561449,-5.533937761,0
다사613432,-5.536125511,0
다사607448,-5.536690541,0
다사573427,-5.536824299,0
다사620435,-5.537696993,0
다사572471,-5.538815257,0
다사602414,-5.542691203,0
다사620442,-5.543233051,0
다사563441,-5.543325775,0
다사577405,-5.544459269,0
다사587476,-5.544726991,0
다사561445,-5.544869028,0
다사585444,-5.546388118,0
다사610419,-5.547044566,0
다사561436,-5.549475933,0
다사560453,-5.549892828,0
다사609461,-5.551806217,0
다사548452,-5.553000685,0
다사628427,-5.555580018,0
다사608391,-5.557210696,0
다사603444,-5.557557074,0
다사604430,-5.558782871,0
다사610428,-5.560036083,0
다사573440,-5.565746697,0.5
다사603446,-5.568160448,0
다사614422,-5.570163634,0
다사634427,-5.570925435,0
다사590458,-5.571003419,0
다사653417,-5.571358242,0
다사602395,-5.571386314,0
다사587478,-5.571830229,0
다사596460,-5.575005395,0
다사628401,-5.578696478,0
다사562456,-5.580876719,0
다사614440,-5.582565113,0
