gid,acci_cnt,2030val,과속방지턱,무인카메라,신호등,버스아침승차,버스아침하차,버스저녁승차,버스저녁하차,관광여가오락,부동산,생활서비스,소매점,숙박,스포츠,음식점,학교,교육,출근시간자전거,퇴근시간자전거,지하철아침승차,지하철아침하차,지하철저녁승차,지하철저녁하차
다사597466,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,1.0,2.0,0.0,2.0,40,233,0.0,0.0,0.0,0.0
다사646437,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,4.0,0.0,1.0,87,255,0.0,0.0,0.0,0.0
다사644418,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,21,0.0,0.0,0.0,0.0
다사589447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,6.0,1.0,0.0,22.0,0.0,3.0,48,112,0.0,0.0,0.0,0.0
다사591479,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,571,0.0,0.0,0.0,0.0
다사582463,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22,128,0.0,0.0,0.0,0.0
다사639415,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,0.0,0.0,0.0,0.0
다사584449,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,14,54,0.0,0.0,0.0,0.0
다사616447,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,262,0.0,0.0,0.0,0.0
다사618437,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,153,0.0,0.0,0.0,0.0
다사604447,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,8.0,0.0,0.0,14.0,0.0,7.0,41,125,0.0,0.0,0.0,0.0
다사592447,0.0,18.0,0.0,0.0,0.0,808.1018518518517,2171.4259259259256,1462.8703703703704,1263.8703703703704,0.0,3.0,1.0,4.0,4.0,0.0,10.0,0.0,1.0,77,166,0.0,0.0,0.0,0.0
다사587470,0.0,8.0,0.0,0.0,4.0,707.75,2429.9166666666665,2307.583333333333,1707.9166666666667,0.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,40,164,0.0,0.0,0.0,0.0
다사635428,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,35,0.0,0.0,0.0,0.0
다사654414,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.0,0.0
다사647405,0.0,112.0,0.0,0.0,0.0,339.5416666666667,95.125,65.70833333333333,10.375,0.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,8,16,0.0,0.0,0.0,0.0
다사596426,0.0,34.0,0.0,0.0,4.0,173.41666666666666,353.62500000000006,1084.9583333333337,319.2916666666667,0.0,1.0,4.0,15.0,0.0,0.0,11.0,0.0,0.0,136,364,0.0,0.0,0.0,0.0
다사596426,0.0,0.0,0.0,0.0,4.0,173.41666666666666,353.62500000000006,1084.9583333333337,319.2916666666667,0.0,1.0,4.0,15.0,0.0,0.0,11.0,0.0,0.0,136,364,0.0,0.0,0.0,0.0
다사609440,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,71,0.0,0.0,0.0,0.0
다사599458,0.0,44.0,0.0,0.0,1.0,896.8888888888889,896.7777777777778,498.77777777777777,665.1666666666667,0.0,0.0,0.0,1.0,0.0,1.0,13.0,0.0,0.0,20,90,0.0,0.0,0.0,0.0
다사616444,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,218,0.0,0.0,0.0,0.0
다사602444,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,29,74,0.0,0.0,0.0,0.0
다사632430,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,0.0,0.0,17.0,0.0,3.0,12,32,0.0,0.0,0.0,0.0
다사657417,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,88,0.0,0.0,0.0,0.0
다사576463,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,9.0,0.0,0.0,32,166,0.0,0.0,0.0,0.0
다사591461,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,18,105,0.0,0.0,0.0,0.0
다사590442,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,25,41,0.0,0.0,0.0,0.0
다사590468,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,139,0.0,0.0,0.0,0.0
다사639429,0.0,101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,39,0.0,0.0,0.0,0.0
다사654410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,0.0,0.0,0.0,0.0
다사584453,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,6.0,0.0,0.0,13,65,0.0,0.0,0.0,0.0
다사592434,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,92,0.0,0.0,0.0,0.0
다사606468,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,27,172,0.0,0.0,0.0,0.0
