,gid,geometry
19,다사591462,"MULTIPOLYGON (((127.0371921457075 37.51417925632022, 127.0371865796347 37.51508059127066, 127.0383181191101 37.51508501964037, 127.0383236715755 37.5141836845466, 127.0371921457075 37.51417925632022)))"
20,다사601437,"MULTIPOLYGON (((127.0486430868249 37.49168959659308, 127.0486376628699 37.49259093642461, 127.0497688647853 37.49259525290406, 127.049774275148 37.49169391293282, 127.0486430868249 37.49168959659308)))"
21,다사596460,"MULTIPOLYGON (((127.0428607728512 37.51239861731711, 127.0428552753054 37.5132999532578, 127.043986788797 37.51330432714646, 127.0439922727367 37.51240299106423, 127.0428607728512 37.51239861731711)))"
22,다사612440,"MULTIPOLYGON (((127.0610703475123 37.49444050428251, 127.061065072369 37.49534184521625, 127.0621963176831 37.49534604296336, 127.062201579232 37.49444470189373, 127.0610703475123 37.49444050428251)))"
23,다사579456,"MULTIPOLYGON (((127.0236482256079 37.50871727001643, 127.0236424977783 37.50961860405151, 127.024773952604 37.50962316161032, 127.02477966683 37.50872182742775, 127.0236482256079 37.50871727001643)))"
24,다사595445,"MULTIPOLYGON (((127.0418119110417 37.49887417912099, 127.0418064035705 37.49977551699832, 127.0429377127875 37.49977989959762, 127.0429432066615 37.49887856157844, 127.0418119110417 37.49887417912099)))"
25,다사606445,"MULTIPOLYGON (((127.0542561762184 37.49892179032114, 127.0542508183164 37.49982312973962, 127.0553821301919 37.49982739316856, 127.0553874744966 37.49892605361207, 127.0542561762184 37.49892179032114)))"
26,다사617442,"MULTIPOLYGON (((127.0667160938734 37.49626406710284, 127.066710886238 37.49716540843551, 127.0678421599083 37.4971695522908, 127.0678473539483 37.49626821082401, 127.0667160938734 37.49626406710284)))"
27,다사647409,"MULTIPOLYGON (((127.1008122666238 37.46663919725357, 127.1008074739097 37.46754054702411, 127.1019383059126 37.46754436181667, 127.1019430850509 37.46664301192261, 127.1008122666238 37.46663919725357)))"
28,다사642424,"MULTIPOLYGON (((127.0950852460631 37.48014018427914, 127.0950803822212 37.48104153135114, 127.0962114168613 37.48104540212983, 127.0962162671183 37.48014405493252, 127.0950852460631 37.48014018427914)))"
29,다사585446,"MULTIPOLYGON (((127.0304933249931 37.499731095157, 127.0304876812998 37.50063243145789, 127.031619001634 37.50063692253851, 127.0316246317297 37.49973558609225, 127.0304933249931 37.499731095157)))"
30,다사597455,"MULTIPOLYGON (((127.0440196887712 37.50789630857448, 127.0440142060528 37.50879764534957, 127.0451456517635 37.50880200769333, 127.0451511208788 37.50790067077705, 127.0440196887712 37.50789630857448)))"
31,다사648409,"MULTIPOLYGON (((127.1019430850509 37.46664301192261, 127.1019383059126 37.46754436181667, 127.1030691381284 37.46754816578785, 127.1030739036907 37.46664681577063, 127.1019430850509 37.46664301192261)))"
32,다사593437,"MULTIPOLYGON (((127.0395935889882 37.49165467597729, 127.0395880562946 37.49255601467839, 127.0407192562604 37.49256041780456, 127.0407247753617 37.49165907896095, 127.0395935889882 37.49165467597729)))"
