gid,acci_cnt,2030val,신호등,버스저녁하차,생활서비스,소매점,음식점,퇴근시간자전거
다사615429,0,0,2,106.9166667,0,0,0,37
다사591433,0,116,2,0,0,0,2,38
다사553425,0,86,2,0,2,2,6,38
다사619426,0,28,1,0,0,0,0,38
다사580413,0,0,16,4257.638889,8,14,13,38
다사582427,0,0,3,0,0,0,0,38
다사582428,0,0,2,0,0,0,0,38
다사639429,0,101,1,0,0,0,0,39
다사572434,0,0,4,1713.708333,0,0,0,39
다사648416,0,0,6,0,0,0,0,39
다사580414,0,119,2,0,7,6,9,40
다사570431,0,58,2,0,10,7,13,40
다사569432,0,22,4,1815.833333,3,2,6,40
다사635435,0,21,6,4206.177419,0,0,4,40
다사566432,1,9,3,0,0,5,0,40
다사567432,0,9,1,0,0,2,1,40
다사566433,0,0,4,1130.2375,4,8,7,40
다사596408,0,0,8,228.4315068,0,0,0,40
다사636435,0,0,3,0,0,0,0,40
다사663413,0,0,2,0,0,0,0,40
다사623435,0,0,1,0,0,0,0,40
다사624434,0,0,1,0,0,0,0,40
다사591443,0,99,2,0,2,8,8,41
다사550428,0,65,3,1677.916667,4,2,1,41
다사652416,0,37,6,0,2,0,3,41
다사591444,0,0,2,876,0,4,3,41
다사605392,0,0,7,0,0,0,1,41
다사611396,0,155,2,0,0,0,0,42
다사555429,0,97,2,0,0,2,0,42
다사611395,0,7,10,0,0,0,0,42
다사575402,0,0,13,0,0,0,0,42
다사545419,0,0,2,0,0,0,0,42
다사655416,0,149,5,0,0,0,0,43
다사629435,0,110,3,0,0,8,5,43
다사630434,0,69,3,564.3333333,1,1,11,43
다사579414,0,40,6,0,3,10,8,43
다사554439,0,32,1,1385.75,0,0,1,43
다사629433,0,0,1,0,0,0,0,43
다사579436,0,229,3,0,3,1,3,44
다사617430,0,44,10,488.6979167,0,0,1,44
다사603418,0,29,2,0,0,0,0,44
다사570435,0,8,4,0,4,2,14,44
다사617431,0,0,2,296.7037037,0,0,0,44
다사599399,0,0,1,105.625,0,2,1,44
다사590403,0,0,4,0,0,0,0,44
다사561436,0,0,5,0,0,0,0,45
다사547423,0,0,3,0,0,0,0,45
다사626435,0,119,2,0,0,0,0,46
다사606389,0,58,7,767.25,2,2,7,46
다사555433,0,56,1,660.8333333,6,4,2,46
다사553424,0,30,2,0,4,2,2,46
다사554433,0,12,4,0,10,5,1,46
다사556425,0,0,4,4216.666667,5,3,9,46
다사561427,0,0,8,1033.75,1,3,2,46
다사562427,0,0,4,799.4017857,0,0,3,46
다사589404,0,0,1,668.2916667,1,1,2,46
다사605390,0,0,7,335.8333333,0,0,0,46
다사603414,0,0,3,0,0,0,0,46
다사610419,0,0,5,0,0,0,0,47
다사632427,0,16,9,546.6416667,0,0,0,48
다사582434,0,0,4,230.5416667,0,0,0,48
다사578401,0,0,6,0,0,1,1,48
다사628427,0,81,8,0,3,4,3,49
다사547422,0,58,4,838.8194444,2,3,11,49
