,gid,pre,geometry
21,다사610438,0.0728419215785076,"MULTIPOLYGON (((127.0588184887334 37.49262939482775, 127.0588131868738 37.4935307357657, 127.0599444045294 37.49353495490362, 127.0599496927959 37.49263361382911, 127.0588184887334 37.49262939482775)))"
22,다사585436,0.0689831435332746,"MULTIPOLYGON (((127.0305497481028 37.49071772452548, 127.0305441069226 37.49161906221229, 127.0316752913078 37.49162355183938, 127.0316809188963 37.49072221400723, 127.0305497481028 37.49071772452548)))"
23,다사542430,0.0680426691879913,"MULTIPOLYGON (((126.9819469974997 37.48510644213748, 126.9819407735568 37.48600777407578, 126.9830718650537 37.48601272844064, 126.9830780754092 37.48511139634195, 126.9819469974997 37.48510644213748)))"
24,다사580447,0.0656348745192583,"MULTIPOLYGON (((127.0248310834117 37.50060981354643, 127.024825371476 37.5015111489766, 127.0259567041454 37.50151569437377, 127.0259624024829 37.50061435879648, 127.0248310834117 37.50060981354643)))"
25,다사551454,0.0652096145261127,"MULTIPOLYGON (((126.9919801938201 37.5067826027583, 126.9919740856384 37.50768393279829, 126.9931055058852 37.50768879348578, 126.9931116004649 37.50678746328848, 126.9919801938201 37.5067826027583)))"
26,다사598420,0.0636659268868139,"MULTIPOLYGON (((127.0453423865232 37.47635379142069, 127.0453369259273 37.47725513318601, 127.0464678961288 37.47725947976524, 127.0464733431427 37.47635813785923, 127.0453423865232 37.47635379142069)))"
27,다사580441,0.0631782347692071,"MULTIPOLYGON (((127.0248653496838 37.49520179805447, 127.0248596392744 37.49610313431633, 127.0259908903637 37.49610767883081, 127.0259965871786 37.49520634242187, 127.0248653496838 37.49520179805447)))"
28,다사585477,0.0625180953283594,"MULTIPOLYGON (((127.030318253553 37.52767245603113, 127.0303126020613 37.52857378803493, 127.0314443442226 37.52857828362362, 127.0314499820979 37.52767695147435, 127.030318253553 37.52767245603113)))"
29,다사592441,0.0615313780380519,"MULTIPOLYGON (((127.0384402162354 37.49525561556462, 127.0384346689613 37.49615695356857, 127.0395659230557 37.49616136809712, 127.0395714567351 37.49526002995029, 127.0384402162354 37.49525561556462)))"
30,다사597422,0.0605513395312806,"MULTIPOLYGON (((127.0442004815473 37.47815211726756, 127.0441950068817 37.47905345861473, 127.0453260040058 37.47905781630103, 127.0453314650882 37.47815647481276, 127.0442004815473 37.47815211726756)))"
31,다사556458,0.0552289222334537,"MULTIPOLYGON (((126.9976130674531 37.51041211950808, 126.9976070262055 37.5113134497763, 126.9987385022182 37.51131825690373, 126.9987445298613 37.51041692647995, 126.9976130674531 37.51041211950808)))"
32,다사583440,0.0515029491444099,"MULTIPOLYGON (((127.0282647323022 37.4943140618206, 127.028259062929 37.49521539866132, 127.0293903011832 37.49521991053336, 127.0293959569625 37.49431857354661, 127.0282647323022 37.4943140618206)))"
33,다사548448,0.0491840121617185,"MULTIPOLYGON (((126.9886228636964 37.50135997584221, 126.9886167163517 37.50226130624054, 126.9897480541775 37.5022661984872, 126.9897541879238 37.50136486793049, 126.9886228636964 37.50135997584221)))"
34,다사583476,0.0486200864142021,"MULTIPOLYGON (((127.0280604756907 37.52676210076098, 127.0280547972191 37.52766343261141, 127.0291865252599 37.52766794974349, 127.0291921901157 37.52676661774687, 127.0280604756907 37.52676210076098)))"
35,다사541420,0.0465298657827008,"MULTIPOLYGON (((126.9808782798927 37.47608815169936, 126.98087204514 37.47698948486425, 126.9820030005129 37.47699444844989, 126.9820092216843 37.47609311512431, 126.9808782798927 37.47608815169936)))"
36,다사549438,0.0454791511925882,"MULTIPOLYGON (((126.9898155103634 37.49235155473372, 126.9898093793485 37.49325288667764, 126.9909405814907 37.49325776651015, 126.9909466989133 37.49235643440826, 126.9898155103634 37.49235155473372)))"
37,다사568449,0.0439172096838601,"MULTIPOLYGON (((127.0112435240872 37.50235709264238, 127.0112376484508 37.50325842600242, 127.0123690052251 37.50326310171237, 127.0123748672621 37.50236176820101, 127.0112435240872 37.50235709264238)))"
38,다사542436,0.0422455464121366,"MULTIPOLYGON (((126.981909649684 37.49051443168621, 126.9819034240776 37.4914157627921, 126.9830345971116 37.49142071811934, 126.983040809127 37.49051938685305, 126.981909649684 37.49051443168621)))"
39,다사647407,0.0422442424196763,"MULTIPOLYGON (((127.1008218514118 37.46483649729744, 127.1008170591245 37.46573784734468, 127.1019478639762 37.46574166189021, 127.1019526426888 37.46484031171946, 127.1008218514118 37.46483649729744)))"
40,다사577408,0.041846567364878,"MULTIPOLYGON (((127.0216612844637 37.46544394019504, 127.0216555417175 37.46634528058728, 127.0227863437428 37.46634985271083, 127.0227920729144 37.46544851217055, 127.0216612844637 37.46544394019504)))"
41,다사579453,0.041608560215661006,"MULTIPOLYGON (((127.0236654075659 37.5060132670794, 127.0236596805017 37.50691460153038, 127.0247910945184 37.50691915864669, 127.0247968079808 37.50601782404822, 127.0236654075659 37.5060132670794)))"
