,gid,아침총승객수
123,다사561446,2545.8888888888887
124,다사561447,2434.9999999999995
125,다사561452,4757.49537037037
126,다사562424,912.9444444444443
127,다사562426,4328.0
128,다사562427,1735.7886904761904
129,다사562434,746.2499999999999
130,다사562444,523.1250000000001
131,다사562449,2657.583333333333
132,다사562453,1688.4433497536945
133,다사562459,136.25
134,다사563421,1800.5
135,다사563422,2405.791666666667
136,다사563424,257.83333333333337
137,다사563436,2761.0
138,다사563437,1981.2499999999998
139,다사563440,2698.1944444444443
140,다사563441,683.375
141,다사563450,540.25
142,다사564421,434.70833333333326
143,다사564436,1808.0277777777778
144,다사564438,1053.35
145,다사564453,208.0
146,다사564459,166.58333333333331
147,다사564461,945.9583333333335
148,다사565422,2449.9166666666665
149,다사565428,1945.6532738095236
150,다사565436,3025.3333333333335
151,다사565437,2389.6800000000003
152,다사565454,906.9166666666665
153,다사565456,2200.3708333333334
154,다사566433,2061.5791666666664
155,다사566452,188.41666666666666
156,다사566453,784.14
157,다사566459,86.89393939393938
158,다사567423,2561.0416666666665
159,다사567429,0.0
160,다사567430,2424.9791666666665
161,다사567431,913.5
162,다사567455,726.7083333333334
163,다사567464,670.25
164,다사568426,1548.1666666666663
165,다사568427,2587.25
166,다사568446,3764.583333333333
167,다사568447,2454.0
168,다사568448,5871.416666666666
169,다사568449,622.0833333333333
170,다사568455,807.3055555555555
171,다사568460,138.72727272727272
172,다사569399,104.28333333333332
173,다사569424,2343.2499999999995
174,다사569426,2769.041666666667
175,다사569432,4883.666666666666
176,다사569433,735.4166666666665
177,다사569438,0.0
178,다사569439,297.88
179,다사569442,2374.6111111111113
180,다사569444,3128.708333333333
181,다사569449,439.7083333333333
182,다사569461,23.2
183,다사569463,1133.6666666666667
184,다사570399,640.3
185,다사570425,2661.208333333334
186,다사570429,1364.85
187,다사570433,583.6666666666666
188,다사570437,1994.0277777777778
189,다사570439,1067.8194444444443
190,다사570448,54.375
191,다사570449,30.20833333333333
192,다사570451,285.1458333333333
193,다사570464,680.9166666666667
194,다사570465,301.83333333333337
195,다사570468,967.4722222222223
196,다사571397,140.66666666666669
197,다사571398,99.0
198,다사571429,2414.4166666666665
199,다사571432,800.0555555555555
200,다사571439,3285.2723132969036
201,다사571450,666.7222222222222
202,다사571468,1198.1666666666665
203,다사572399,392.8666666666667
204,다사572426,1080.0
205,다사572428,0.0
206,다사572433,830.8333333333334
207,다사572434,2144.333333333333
208,다사572437,395.16666666666663
209,다사572440,668.2295081967213
210,다사572447,182.91666666666666
211,다사572448,220.24999999999994
212,다사572473,263.90344827586205
213,다사573397,92.41666666666669
214,다사573400,770.8125
215,다사573426,1347.4999999999998
216,다사573427,0.0
217,다사573429,2043.5
218,다사573430,2638.020833333333
219,다사573441,165.24999999999997
220,다사573447,533.75
221,다사574397,130.66666666666669
222,다사574434,771.5833333333334
223,다사574440,301.79166666666663
224,다사574446,135.83333333333334
225,다사574466,0.0
226,다사575435,299.66666666666663
227,다사575441,1500.5599777860052
228,다사575442,156.16666666666666
229,다사575449,806.6111111111111
230,다사575457,2186.5037037037036
231,다사575462,3377.005115089514
232,다사575463,939.4374999999999
233,다사575464,1450.1250000000002
234,다사575465,707.3888888888888
235,다사576430,585.5833333333333
236,다사576431,2497.5041666666666
237,다사576435,3297.2708333333335
238,다사576437,1794.9166666666665
239,다사576438,1513.8333333333333
240,다사576443,85.75
241,다사576450,228.3
242,다사576451,296.41666666666663
243,다사576460,971.4537037037037
244,다사576471,2256.5625
245,다사576472,468.625
246,다사577399,6.5
247,다사577404,218.93055555555551
248,다사577405,195.58333333333334
249,다사577408,2043.9166666666665
250,다사577427,4155.027777777778
251,다사577446,68.5
252,다사577447,1141.375
253,다사577448,34.416666666666664
254,다사577456,1034.388888888889
255,다사577457,4736.805555555555
256,다사577458,1083.0327868852457
257,다사577465,3545.7761904761905
258,다사578399,241.41666666666669
259,다사578402,498.75
260,다사578405,1356.125
261,다사578431,453.49999999999994
262,다사578442,315.2995495495495
263,다사578446,359.5833333333333
264,다사578453,4892.995495495496
265,다사578454,1216.7936507936508
266,다사578459,502.85245901639337
267,다사578473,0.0
268,다사579401,42.66666666666666
269,다사579432,366.8333333333333
270,다사579441,221.24999999999997
271,다사579442,734.7397260273973
272,다사579443,1223.7430555555557
273,다사579451,470.4166666666667
274,다사579452,2354.361111111111
275,다사579453,813.2462121212122
276,다사579474,564.6250000000001
