,gid,저녁총승객수
74,다사552444,110.5
75,다사553417,85.33333333333333
76,다사553430,3115.3333333333335
77,다사553433,1492.8333333333335
78,다사553449,1152.9953703703704
79,다사553456,0.0
80,다사554425,6925.729166666667
81,다사554428,3298.805555555555
82,다사554439,1385.7499999999998
83,다사554444,164.22222222222223
84,다사554445,1049.595744680851
85,다사554446,679.6666666666666
86,다사554450,874.9833333333333
87,다사555417,64.72916666666667
88,다사555426,3069.125
89,다사555433,660.8333333333333
90,다사555440,724.3333333333334
91,다사555450,176.50000000000003
92,다사555459,559.0
93,다사556424,2340.680555555555
94,다사556425,4216.666666666666
95,다사556434,771.3333333333334
96,다사556441,1262.6666666666665
97,다사556442,1497.5833333333335
98,다사556444,2003.9999999999995
99,다사556445,1634.0833333333335
100,다사556446,242.99999999999997
101,다사556458,1344.25
102,다사557422,224.54166666666669
103,다사557423,288.5833333333333
104,다사557451,135.41666666666666
105,다사557454,1203.3055555555554
106,다사558418,510.83333333333337
107,다사558420,594.8958333333333
108,다사558421,768.5833333333333
109,다사558447,137.36111111111111
110,다사558451,287.41666666666663
111,다사558454,602.5833333333334
112,다사559418,595.3333333333333
113,다사559426,1795.9017857142858
114,다사559451,1870.1666666666665
115,다사560419,805.4583333333333
116,다사560452,3635.5
117,다사560455,92.50000000000001
118,다사561427,1033.75
119,다사561430,356.8333333333333
120,다사561431,1065.25
121,다사561434,445.6666666666667
122,다사561445,200.5
123,다사561446,764.6666666666666
124,다사561447,1016.1944444444443
125,다사561452,3193.3425925925926
126,다사562424,977.1388888888889
127,다사562426,1872.0694444444448
128,다사562427,799.4017857142857
129,다사562434,540.6666666666666
130,다사562444,48.04166666666667
131,다사562449,403.91666666666663
132,다사562453,2294.004926108375
133,다사562459,404.9166666666667
134,다사563421,1065.6777777777777
135,다사563422,1489.125
136,다사563424,540.1666666666667
137,다사563436,716.25
138,다사563437,2429.333333333333
139,다사563440,929.5555555555555
140,다사563441,174.70833333333334
141,다사563450,253.58333333333331
142,다사564421,416.5416666666667
143,다사564436,1460.388888888889
144,다사564438,956.1
145,다사564453,197.58333333333331
146,다사564459,212.83333333333334
147,다사564461,1647.5833333333335
148,다사565422,1038.1249999999998
149,다사565428,1242.904761904762
150,다사565436,2981.9166666666665
151,다사565437,1687.76
152,다사565454,1764.5833333333335
153,다사565456,2745.9708333333333
154,다사566433,1130.2375
155,다사566452,319.83333333333337
156,다사566453,646.0933333333334
157,다사566459,78.32575757575758
158,다사567423,1760.875
159,다사567429,0.0
160,다사567430,1054.5555555555557
161,다사567431,215.54166666666666
162,다사567455,745.1333333333332
163,다사567464,2011.1875
164,다사568426,318.58333333333326
165,다사568427,1032.4166666666665
166,다사568446,1986.0277777777776
167,다사568447,1148.875
168,다사568448,4143.166666666666
169,다사568449,806.4444444444445
170,다사568455,1638.0
171,다사568460,109.36363636363636
172,다사569399,117.21666666666665
173,다사569424,833.3333333333334
174,다사569426,703.5
175,다사569432,1815.8333333333333
176,다사569433,618.6666666666667
177,다사569438,0.0
178,다사569439,205.12
179,다사569442,1354.375
180,다사569444,1399.3749999999998
181,다사569449,351.5
182,다사569461,27.266666666666666
183,다사569463,2637.25
184,다사570399,1221.9833333333331
185,다사570425,1154.7083333333335
186,다사570429,1419.6999999999998
187,다사570433,297.0
188,다사570437,1662.111111111111
189,다사570439,444.54166666666674
190,다사570448,43.0
191,다사570449,24.875
192,다사570451,365.4375
193,다사570464,1300.3333333333333
194,다사570465,737.7499999999999
195,다사570468,2173.861111111111
196,다사571397,195.66666666666666
197,다사571398,34.166666666666664
198,다사571429,3554.690476190476
199,다사571432,527.1666666666667
200,다사571439,3811.343806921676
201,다사571450,636.8333333333333
202,다사571468,2775.0
203,다사572399,804.2666666666667
204,다사572426,477.29166666666663
205,다사572428,0.0
206,다사572433,325.83333333333337
207,다사572434,1713.7083333333335
208,다사572437,555.75
209,다사572440,431.2459016393443
210,다사572447,137.75
211,다사572448,108.50000000000001
212,다사572473,445.6965517241379
213,다사573397,14.25
214,다사573400,2574.3416666666662
215,다사573426,470.66666666666663
216,다사573427,0.0
217,다사573429,868.5
218,다사573430,2288.6875
219,다사573441,147.08333333333331
220,다사573447,509.8333333333333
221,다사574397,97.25
222,다사574434,571.5
223,다사574440,332.5
