,gid,저녁총승객수
70,다사551444,255.3611111111111
71,다사552424,1204.2916666666667
72,다사552431,6666.763888888888
73,다사552439,883.5833333333333
74,다사552444,713.7777777777778
75,다사553417,169.58333333333334
76,다사553430,1500.541666666667
77,다사553433,770.6249999999999
78,다사553449,1210.3333333333335
79,다사553456,0.0
80,다사554425,8037.1875
81,다사554428,3141.7499999999995
82,다사554439,1392.25
83,다사554444,409.3611111111111
84,다사554445,211.85106382978725
85,다사554446,1778.5
86,다사554450,907.9388888888889
87,다사555417,119.50000000000001
88,다사555426,6914.791666666667
89,다사555433,300.25
90,다사555440,877.0833333333334
91,다사555450,63.958333333333336
92,다사555459,1030.8333333333333
93,다사556424,2571.1388888888887
94,다사556425,4185.083333333334
95,다사556434,228.41666666666666
96,다사556441,499.75
97,다사556442,2845.25
98,다사556444,3124.2499999999995
99,다사556445,2496.416666666667
100,다사556446,1094.0
101,다사556458,1541.4166666666667
102,다사557422,393.16666666666674
103,다사557423,50.08333333333333
104,다사557451,189.75
105,다사557454,180.83333333333334
106,다사558418,1215.5416666666665
107,다사558420,1433.6041666666665
108,다사558421,226.9722222222222
109,다사558447,239.66666666666666
110,다사558451,433.9166666666667
111,다사558454,814.6944444444443
112,다사559418,158.58333333333331
113,다사559426,1296.7460317460318
114,다사559451,3632.5555555555557
115,다사560419,325.625
116,다사560452,3355.6249999999995
117,다사560455,162.0
118,다사561427,1353.0416666666665
119,다사561430,1468.6666666666667
120,다사561431,1041.9999999999998
121,다사561434,566.1666666666667
122,다사561445,2021.8333333333333
123,다사561446,683.3888888888889
124,다사561447,1546.3333333333333
125,다사561452,5293.50462962963
126,다사562424,284.9722222222222
127,다사562426,1949.4722222222222
128,다사562427,1818.452380952381
129,다사562434,1124.2083333333333
130,다사562444,394.45833333333326
131,다사562449,2606.75
132,다사562453,5094.073891625616
133,다사562459,467.25
134,다사563421,1314.111111111111
135,다사563422,1681.0694444444443
136,다사563424,778.3333333333333
137,다사563436,263.41666666666663
138,다사563437,1125.5833333333335
139,다사563440,985.7222222222222
140,다사563441,195.20833333333331
141,다사563450,583.7222222222222
142,다사564421,217.79166666666669
143,다사564436,1243.9722222222222
144,다사564438,1851.3833333333332
145,다사564453,1702.0833333333333
146,다사564459,121.83333333333334
147,다사564461,1080.8958333333335
148,다사565422,1723.0833333333333
149,다사565428,2039.738095238095
150,다사565436,2151.458333333333
151,다사565437,915.6800000000001
152,다사565454,355.9166666666667
153,다사565456,3648.041666666667
154,다사566433,1431.9916666666668
155,다사566452,31.583333333333336
156,다사566453,1316.6666666666667
157,다사566459,39.51515151515151
158,다사567423,3754.583333333334
159,다사567429,0.0
160,다사567430,1695.4930555555554
161,다사567431,81.45833333333333
162,다사567455,877.2166666666667
163,다사567464,1338.375
164,다사568426,5.333333333333333
165,다사568427,3358.3055555555557
166,다사568446,3692.9444444444443
167,다사568447,281.70833333333337
168,다사568448,9935.75
169,다사568449,2202.777777777778
170,다사568455,942.7870370370372
171,다사568460,69.18181818181819
172,다사569399,255.33333333333331
173,다사569424,4062.708333333333
174,다사569426,1545.5416666666667
175,다사569432,3305.7500000000005
176,다사569433,1259.9166666666665
177,다사569438,0.0
178,다사569439,765.12
179,다사569442,986.6527777777778
180,다사569444,673.0
181,다사569449,465.0
182,다사569461,21.666666666666668
183,다사569463,2083.833333333333
184,다사570399,651.6333333333334
185,다사570425,813.2916666666667
186,다사570429,3228.0499999999997
187,다사570433,907.4999999999999
188,다사570437,1014.8555555555555
189,다사570439,3447.222222222222
190,다사570448,93.375
191,다사570449,13.25
192,다사570451,381.20833333333337
193,다사570464,584.0833333333333
194,다사570465,911.0
195,다사570468,1854.7222222222222
196,다사571397,16.666666666666664
197,다사571398,20.916666666666668
198,다사571429,2724.5238095238096
199,다사571432,692.5555555555557
200,다사571439,4307.684881602914
201,다사571450,324.58333333333337
202,다사571468,1847.5833333333335
203,다사572399,393.9666666666667
204,다사572426,614.5833333333333
205,다사572428,0.0
206,다사572433,571.5833333333333
207,다사572434,2153.208333333333
208,다사572437,36.33333333333334
209,다사572440,363.70491803278685
210,다사572447,231.16666666666666
211,다사572448,121.83333333333334
212,다사572473,312.07586206896553
213,다사573397,8.416666666666666
214,다사573400,920.1958333333333
215,다사573426,435.375
216,다사573427,0.0
217,다사573429,2892.791666666667
218,다사573430,1362.8541666666667
219,다사573441,89.33333333333333
220,다사573447,326.58333333333337
221,다사574397,1.6666666666666665
222,다사574434,510.58333333333337
223,다사574440,343.91666666666663
224,다사574446,800.25
225,다사574466,0.0
226,다사575435,665.3333333333334
227,다사575441,1396.7605516475378
228,다사575442,106.33333333333331
229,다사575449,220.05555555555554
230,다사575457,2538.347222222222
231,다사575462,2671.050127877238
232,다사575463,4169.791666666667
233,다사575464,692.0833333333334
234,다사575465,768.5555555555555
235,다사576430,725.8333333333333
236,다사576431,2387.983333333333
237,다사576435,2317.9722222222226
238,다사576437,500.91666666666663
239,다사576438,348.75
240,다사576443,149.08333333333337
241,다사576450,1141.5333333333335
242,다사576451,732.4166666666665
243,다사576460,1248.9814814814815
244,다사576471,1290.4479166666667
245,다사576472,2802.9791666666665
246,다사577399,280.91666666666663
247,다사577404,401.29166666666663
248,다사577405,413.91666666666663
249,다사577408,665.0833333333333
250,다사577427,3118.2083333333335
251,다사577446,523.4166666666667
252,다사577447,598.5208333333334
253,다사577448,977.5833333333333
254,다사577456,1381.3333333333335
255,다사577457,9356.194444444445
256,다사577458,912.7049180327868
257,다사577465,6169.652380952381
258,다사578399,5.750000000000001
259,다사578402,1110.8333333333333
260,다사578405,542.8888888888889
261,다사578431,324.50000000000006
262,다사578442,721.6959459459459
263,다사578446,31.75
264,다사578453,1695.885135135135
265,다사578454,1148.7420634920634
266,다사578459,515.4262295081967
267,다사578473,0.0
268,다사579401,90.25
269,다사579432,207.5
270,다사579441,731.75
271,다사579442,563.6575342465753
272,다사579443,1169.736111111111
273,다사579451,1380.388888888889
274,다사579452,2186.527777777778
275,다사579453,1440.3257575757575
276,다사579474,1653.9791666666665
277,다사580402,1291.9999999999998
278,다사580407,1647.6805555555557
279,다사580413,4534.388888888889
280,다사580432,428.125
281,다사580437,2846.597222222222
282,다사580438,366.58333333333337
283,다사580440,815.4444444444445
284,다사580447,0.0
285,다사580448,3999.4287280701756
286,다사580449,8618.05985915493
287,다사580451,1043.0833333333335
288,다사580474,1064.6666666666667
289,다사581407,1550.0499999999997
290,다사581412,816.625
291,다사581432,415.58333333333337
292,다사581433,1269.1875
293,다사581436,309.54166666666663
294,다사581438,736.1666666666667
295,다사581443,7748.798039215686
296,다사581445,3258.9166666666665
297,다사581446,3939.608333333333
298,다사581447,5058.291666666667
299,다사581451,1131.2916666666665
300,다사581467,3002.195833333333
301,다사582410,1843.1875
302,다사582415,2408.0694444444443
303,다사582434,66.33333333333333
304,다사582435,481.8333333333334
305,다사582442,2667.4116666666664
306,다사582445,3348.5
307,다사582452,0.0
308,다사582475,0.0
309,다사583431,1107.75
310,다사583434,1857.7
311,다사583438,3698.298611111111
312,다사583440,2934.3541666666665
313,다사583441,2029.8111111111111
314,다사583444,1230.9896907216496
315,다사583466,4122.891666666666
316,다사583471,2312.483333333333
317,다사583472,1464.5166666666667
318,다사583475,4768.3
319,다사584413,454.55555555555554
320,다사584414,42.0
321,다사584415,13.916666666666666
322,다사584428,305.79166666666663
323,다사584434,1004.5416666666667
324,다사584437,2809.643790849673
325,다사584438,1340.2166666666667
326,다사584439,1857.4166666666665
327,다사584440,4279.166666666666
328,다사584444,1014.5670103092783
329,다사584461,2574.1639344262294
330,다사584462,1834.6249999999998
331,다사584463,2392.8958333333335
332,다사585414,124.875
333,다사585428,3172.0138888888887
334,다사585436,3181.796874999999
335,다사585453,0.0
336,다사585468,1556.611111111111
337,다사585469,3162.5277777777774
338,다사585477,3172.1111111111113
339,다사586412,18.666666666666668
340,다사586413,13.666666666666666
341,다사586418,2425.8680555555557
342,다사586428,4075.9166666666674
343,다사586432,1820.5734811165844
344,다사586433,1482.4999999999998
345,다사586453,502.875
346,다사586457,757.8196721311475
347,다사586458,1002.9795918367347
348,다사587407,18.958333333333332
349,다사587411,228.0
350,다사587418,831.8611111111111
351,다사587431,943.3958333333333
352,다사587435,3679.1875
353,다사587445,607.0412371134021
354,다사587455,3597.9795918367345
