,gid,아침총승객수
149,다사565428,1426.3794642857144
150,다사565436,4611.5
151,다사565437,1112.92
152,다사565454,47.583333333333336
153,다사565456,1559.2375
154,다사566433,1137.2666666666667
155,다사566452,11.166666666666666
156,다사566453,1152.07
157,다사566459,43.780303030303024
158,다사567423,948.7083333333334
159,다사567429,0.0
160,다사567430,1103.201388888889
161,다사567431,19.333333333333332
162,다사567455,1232.0333333333333
163,다사567464,1924.3541666666665
164,다사568426,7.583333333333334
165,다사568427,1295.6527777777778
166,다사568446,1990.5
167,다사568447,218.29166666666666
168,다사568448,5578.166666666667
169,다사568449,849.5
170,다사568455,1025.8611111111113
171,다사568460,124.81818181818181
172,다사569399,413.0
173,다사569424,519.1666666666666
174,다사569426,242.25
175,다사569432,2323.9166666666665
176,다사569433,273.0
177,다사569438,0.0
178,다사569439,318.0
179,다사569442,498.16666666666674
180,다사569444,478.8333333333333
181,다사569449,257.0
182,다사569461,87.33333333333334
183,다사569463,2822.0
184,다사570399,925.3166666666666
185,다사570425,78.25
186,다사570429,3485.133333333333
187,다사570433,618.75
188,다사570437,749.45
189,다사570439,7274.722222222223
190,다사570448,131.70833333333331
191,다사570449,11.041666666666666
192,다사570451,352.49999999999994
193,다사570464,817.25
194,다사570465,1360.9166666666665
195,다사570468,2605.8611111111113
196,다사571397,26.583333333333332
197,다사571398,107.75000000000001
198,다사571429,2792.0357142857147
199,다사571432,537.1666666666667
200,다사571439,4279.10655737705
201,다사571450,670.1944444444445
202,다사571468,3073.916666666667
203,다사572399,926.7999999999998
204,다사572426,349.3333333333333
205,다사572428,0.0
206,다사572433,434.41666666666663
207,다사572434,1211.5833333333333
208,다사572437,84.41666666666666
209,다사572440,229.04918032786884
210,다사572447,394.5
211,다사572448,265.25
212,다사572473,151.66896551724136
213,다사573397,96.75
214,다사573400,2829.0458333333327
215,다사573426,374.29166666666663
216,다사573427,0.0
217,다사573429,2941.5416666666665
218,다사573430,392.33333333333337
219,다사573441,210.75
220,다사573447,708.5833333333333
221,다사574397,3.4999999999999996
222,다사574434,648.1666666666666
223,다사574440,282.5416666666667
224,다사574446,1177.5833333333335
225,다사574466,0.0
226,다사575435,1287.3333333333333
227,다사575441,1372.5547636677775
228,다사575442,262.5833333333333
229,다사575449,1558.1388888888887
230,다사575457,2136.6055555555554
231,다사575462,2320.0452685421997
232,다사575463,2749.395833333333
233,다사575464,314.91666666666674
234,다사575465,581.8888888888889
235,다사576430,508.33333333333326
236,다사576431,1342.5458333333331
237,다사576435,2336.027777777778
238,다사576437,321.16666666666663
239,다사576438,701.8333333333333
240,다사576443,432.58333333333337
241,다사576450,1221.7666666666667
242,다사576451,1517.5833333333333
243,다사576460,789.7314814814815
244,다사576471,568.0416666666667
245,다사576472,1012.34375
246,다사577399,1805.1666666666667
247,다사577404,1022.1944444444445
248,다사577405,1293.9166666666665
249,다사577408,94.33333333333333
250,다사577427,1336.1944444444443
251,다사577446,372.75
252,다사577447,813.5624999999999
253,다사577448,1588.75
254,다사577456,4202.611111111112
255,다사577457,31080.72222222222
256,다사577458,863.8032786885246
257,다사577465,4482.92142857143
258,다사578399,6.916666666666666
259,다사578402,1138.0833333333333
260,다사578405,1230.2777777777778
261,다사578431,381.5
262,다사578442,721.1936936936938
263,다사578446,5.5
264,다사578453,1077.9707207207207
265,다사578454,1115.2222222222222
266,다사578459,297.2295081967213
267,다사578473,0.0
268,다사579401,998.0833333333333
269,다사579432,325.25
270,다사579441,150.0
271,다사579442,210.6027397260274
272,다사579443,410.97222222222223
273,다사579451,304.77777777777777
274,다사579452,1464.7222222222222
275,다사579453,858.0871212121211
276,다사579474,462.11458333333337
277,다사580402,2286.75
278,다사580407,1103.486111111111
279,다사580413,5168.527777777778
280,다사580432,429.125
281,다사580437,3493.027777777778
282,다사580438,241.97222222222223
283,다사580440,196.63888888888889
284,다사580447,0.0
285,다사580448,3549.6502192982457
286,다사580449,14347.218309859156
287,다사580451,1595.5833333333335
288,다사580474,382.6145833333333
289,다사581407,1876.0833333333333
290,다사581412,1351.0
291,다사581432,662.1666666666666
292,다사581433,972.1249999999999
293,다사581436,263.9166666666667
294,다사581438,551.7777777777777
295,다사581443,11424.183986928105
296,다사581445,794.6666666666666
297,다사581446,1795.2875
298,다사581447,2686.3083333333334
299,다사581451,233.29166666666669
300,다사581467,939.4583333333333
301,다사582410,617.7638888888889
302,다사582415,1062.375
303,다사582434,33.208333333333336
304,다사582435,235.70833333333334
305,다사582442,10606.278333333332
306,다사582445,3333.583333333334
307,다사582452,0.0
308,다사582475,0.0
309,다사583431,848.1666666666666
310,다사583434,705.1833333333333
311,다사583438,1877.2222222222222
312,다사583440,1397.3020833333333
313,다사583441,1214.927777777778
314,다사583444,1412.0309278350517
315,다사583466,682.6624999999999
316,다사583471,384.7166666666667
317,다사583472,360.55
318,다사583475,5639.35
319,다사584413,11.305555555555555
320,다사584414,53.00000000000001
321,다사584415,18.75
322,다사584428,359.58333333333326
323,다사584434,584.6666666666666
324,다사584437,1455.81045751634
325,다사584438,644.4
326,다사584439,933.4583333333333
327,다사584440,1798.5
328,다사584444,300.5360824742268
329,다사584461,2805.9508196721313
330,다사584462,5790.833333333333
331,다사584463,5305.395833333333
332,다사585414,9.041666666666666
333,다사585428,2341.9305555555557
334,다사585436,1543.671875
335,다사585453,0.0
336,다사585468,469.3888888888889
337,다사585469,684.0
338,다사585477,2642.5416666666665
339,다사586412,2.75
340,다사586413,10.666666666666666
341,다사586418,2697.791666666667
342,다사586428,3704.5833333333335
343,다사586432,1988.8518062397372
344,다사586433,1259.85
345,다사586453,533.5416666666666
346,다사586457,606.4098360655738
347,다사586458,753.1020408163265
348,다사587407,16.833333333333332
349,다사587411,128.25
350,다사587418,906.6666666666666
351,다사587431,637.828125
352,다사587435,1585.1
353,다사587445,456.9175257731959
354,다사587455,3659.7959183673474
355,다사587470,707.75
356,다사587471,318.6388888888889
357,다사587474,186.88888888888889
358,다사587475,901.125
359,다사588402,648.6666666666666
360,다사588405,2167.75
361,다사588407,477.1666666666667
