,gid,TL_cnt
658,다사576450,21
659,다사576451,13
660,다사576452,3
661,다사576453,1
662,다사576454,3
663,다사576455,2
664,다사576456,3
665,다사576457,12
666,다사576458,13
667,다사576459,6
668,다사576460,3
669,다사576461,6
670,다사576462,6
671,다사576463,9
672,다사576464,4
673,다사576465,23
674,다사576466,19
675,다사576467,23
676,다사576468,16
677,다사576469,4
678,다사576470,16
679,다사576471,9
680,다사576472,1
681,다사576474,1
682,다사577399,1
683,다사577408,27
684,다사577410,3
685,다사577428,5
686,다사577429,5
687,다사577430,6
688,다사577431,3
689,다사577432,3
690,다사577434,2
691,다사577435,7
692,다사577436,2
693,다사577437,1
694,다사577443,6
695,다사577448,2
696,다사577449,27
697,다사577450,5
698,다사577451,12
699,다사577452,7
700,다사577453,14
701,다사577454,12
702,다사577455,12
703,다사577456,12
704,다사577457,1
705,다사577458,7
706,다사577459,7
707,다사577460,9
708,다사577461,1
709,다사577463,5
710,다사577464,12
711,다사577465,10
712,다사577466,26
713,다사577467,14
714,다사577468,9
715,다사577469,16
716,다사577470,19
717,다사577471,14
718,다사577472,2
719,다사578401,1
720,다사578404,1
721,다사578410,1
722,다사578412,1
723,다사578413,3
724,다사578416,1
725,다사578425,1
726,다사578428,4
727,다사578429,1
728,다사578430,1
729,다사578431,2
730,다사578432,4
731,다사578433,1
732,다사578443,2
733,다사578446,11
734,다사578448,3
735,다사578449,33
736,다사578450,17
737,다사578451,15
738,다사578452,6
739,다사578453,12
740,다사578454,3
741,다사578455,47
742,다사578456,46
743,다사578457,31
744,다사578458,20
745,다사578459,4
746,다사578461,1
747,다사578463,9
748,다사578464,7
749,다사578465,10
750,다사578466,8
751,다사578467,9
752,다사578468,14
753,다사578469,10
754,다사578470,6
755,다사578471,3
756,다사578472,9
757,다사578473,7
758,다사579399,1
759,다사579401,4
760,다사579405,4
761,다사579406,3
762,다사579411,1
763,다사579412,1
764,다사579413,3
765,다사579414,8
766,다사579415,1
767,다사579416,1
768,다사579423,1
769,다사579429,2
770,다사579436,3
771,다사579441,2
772,다사579443,6
773,다사579444,2
774,다사579446,3
775,다사579447,33
776,다사579448,24
777,다사579449,27
778,다사579450,5
779,다사579451,5
780,다사579453,31
781,다사579454,36
782,다사579455,33
783,다사579456,23
784,다사579457,11
785,다사579458,7
786,다사579459,8
787,다사579460,1
788,다사579464,1
789,다사579465,11
790,다사579466,1
791,다사579467,17
792,다사579468,15
793,다사579469,16
794,다사579470,12
795,다사579471,6
796,다사579472,3
797,다사579473,17
798,다사579474,3
799,다사579476,3
800,다사580403,4
801,다사580406,17
802,다사580412,12
803,다사580413,13
804,다사580414,9
805,다사580426,1
806,다사580431,2
807,다사580441,43
808,다사580442,2
809,다사580443,3
810,다사580444,18
811,다사580445,9
812,다사580446,52
813,다사580447,39
814,다사580448,16
815,다사580449,7
816,다사580450,17
817,다사580451,11
818,다사580452,32
819,다사580453,15
820,다사580454,14
821,다사580455,9
822,다사580456,15
823,다사580457,24
824,다사580458,6
825,다사580459,1
826,다사580461,1
827,다사580462,3
828,다사580464,2
829,다사580465,3
830,다사580466,1
831,다사580467,16
832,다사580468,6
833,다사580469,2
834,다사580470,8
835,다사580471,12
836,다사580472,1
837,다사580473,5
838,다사580474,13
839,다사580475,2
840,다사580480,3
841,다사581408,6
842,다사581412,1
843,다사581414,1
844,다사581430,1
845,다사581431,5
846,다사581432,16
847,다사581435,1
848,다사581437,9
849,다사581441,14
850,다사581442,7
851,다사581443,1
852,다사581444,23
853,다사581445,7
854,다사581446,9
855,다사581447,9
856,다사581448,32
857,다사581449,27
858,다사581450,24
859,다사581451,1
860,다사581452,13
861,다사581453,7
862,다사581454,12
863,다사581456,8
864,다사581457,11
865,다사581458,3
866,다사581459,2
867,다사581460,1
868,다사581461,1
869,다사581463,1
870,다사581465,2
871,다사581466,11
872,다사581467,4
873,다사581468,21
874,다사581469,10
875,다사581470,7
876,다사581471,11
877,다사581472,12
878,다사581473,9
879,다사581474,11
880,다사581475,1
881,다사582408,1
882,다사582411,12
883,다사582412,1
884,다사582415,5
885,다사582430,2
886,다사582431,3
887,다사582432,3
888,다사582433,2
889,다사582437,1
890,다사582438,5
891,다사582439,7
892,다사582440,26
893,다사582441,19
894,다사582442,3
895,다사582444,24
896,다사582445,29
897,다사582446,44
898,다사582447,22
899,다사582448,16
900,다사582449,30
901,다사582450,8
902,다사582451,6
903,다사582452,1
904,다사582453,5
905,다사582454,13
906,다사582455,6
907,다사582456,4
908,다사582457,6
909,다사582458,9
910,다사582459,5
911,다사582460,3
912,다사582461,4
913,다사582462,2
914,다사582463,1
915,다사582465,3
916,다사582466,5
917,다사582467,3
918,다사582468,5
919,다사582469,8
920,다사582470,10
921,다사582471,16
922,다사582472,16
923,다사582473,18
924,다사582474,41
925,다사582475,14
926,다사582476,69
927,다사582478,1
928,다사582481,1
929,다사583414,1
930,다사583428,3
931,다사583429,8
932,다사583430,5
933,다사583431,4
934,다사583432,5
935,다사583433,2
936,다사583434,1
937,다사583435,1
938,다사583436,7
939,다사583437,20
940,다사583438,27
941,다사583439,14
942,다사583440,10
943,다사583441,4
944,다사583442,7
945,다사583443,8
946,다사583444,12
947,다사583445,20
