,gid,COUNT
453,다사550442,39
454,다사550443,65
455,다사550444,53
456,다사550445,78
457,다사550446,51
458,다사550447,75
459,다사550448,49
460,다사550449,40
461,다사550450,57
462,다사550451,33
463,다사550452,96
464,다사550453,80
465,다사550454,144
466,다사550455,157
467,다사550456,94
468,다사550457,131
469,다사550458,67
470,다사550459,103
471,다사550460,73
472,다사550461,115
473,다사551402,0
474,다사551403,0
475,다사551404,0
476,다사551405,0
477,다사551406,0
478,다사551407,0
479,다사551408,0
480,다사551409,0
481,다사551410,0
482,다사551411,0
483,다사551412,1
484,다사551413,1
485,다사551414,1
486,다사551415,1
487,다사551416,4
488,다사551417,3
489,다사551418,3
490,다사551419,4
491,다사551420,1
492,다사551421,1
493,다사551422,1
494,다사551423,3
495,다사551424,2
496,다사551425,2
497,다사551426,6
498,다사551427,4
499,다사551428,4
500,다사551429,31
501,다사551430,27
502,다사551431,27
503,다사551432,27
504,다사551433,56
505,다사551434,29
506,다사551435,29
507,다사551436,42
508,다사551437,13
509,다사551438,13
510,다사551439,13
511,다사551440,25
512,다사551441,12
513,다사551442,12
514,다사551443,38
515,다사551444,26
516,다사551445,26
517,다사551446,26
518,다사551447,50
519,다사551448,24
520,다사551449,24
521,다사551450,41
522,다사551451,17
523,다사551452,17
524,다사551453,17
525,다사551454,144
526,다사551455,64
527,다사551456,64
528,다사551457,131
529,다사551458,37
530,다사551459,37
531,다사551460,37
532,다사551461,115
533,다사551462,42
534,다사552403,0
535,다사552404,0
536,다사552405,0
537,다사552406,0
538,다사552407,0
539,다사552408,0
540,다사552409,0
541,다사552410,0
542,다사552411,0
543,다사552412,1
544,다사552413,1
545,다사552414,1
546,다사552415,3
547,다사552416,6
548,다사552417,3
549,다사552418,3
550,다사552419,5
551,다사552420,1
552,다사552421,1
553,다사552422,2
554,다사552423,4
555,다사552424,2
556,다사552425,2
557,다사552426,12
558,다사552427,4
559,다사552428,4
560,다사552429,37
561,다사552430,33
562,다사552431,27
563,다사552432,27
564,다사552433,74
565,다사552434,29
566,다사552435,29
567,다사552436,49
568,다사552437,13
569,다사552438,13
570,다사552439,13
571,다사552440,33
572,다사552441,12
573,다사552442,12
574,다사552443,57
575,다사552444,26
576,다사552445,26
577,다사552446,26
578,다사552447,78
579,다사552448,24
580,다사552449,24
581,다사552450,64
582,다사552451,17
583,다사552452,17
584,다사552453,17
585,다사552454,81
586,다사552455,64
587,다사552456,64
588,다사552457,101
589,다사552458,37
590,다사552459,37
591,다사552460,37
592,다사552461,79
593,다사552462,42
594,다사552463,42
595,다사553403,0
596,다사553404,0
597,다사553405,0
598,다사553406,0
599,다사553407,0
600,다사553408,0
601,다사553409,0
602,다사553410,0
603,다사553411,0
604,다사553412,1
605,다사553413,1
606,다사553414,3
607,다사553415,3
608,다사553416,5
609,다사553417,6
610,다사553418,4
611,다사553419,5
612,다사553420,2
613,다사553421,3
614,다사553422,2
615,다사553423,3
616,다사553424,9
617,다사553425,8
618,다사553426,12
619,다사553427,10
620,다사553428,16
621,다사553429,10
622,다사553430,33
623,다사553431,51
624,다사553432,45
625,다사553433,74
626,다사553434,47
627,다사553435,54
628,다사553436,49
629,다사553437,20
630,다사553438,28
631,다사553439,21
632,다사553440,33
633,다사553441,20
634,다사553442,39
635,다사553443,57
636,다사553444,45
637,다사553445,73
638,다사553446,54
639,다사553447,78
640,다사553448,75
641,다사553449,47
642,다사553450,64
643,다사553451,40
644,다사553452,61
645,다사553453,38
646,다사553454,102
647,다사553455,157
648,다사553456,136
649,다사553457,173
650,다사553458,109
651,다사553459,190
652,다사553460,118
653,다사553461,160
654,다사553462,199
655,다사553463,118
656,다사553464,203
657,다사554403,0
658,다사554404,0
659,다사554405,0
660,다사554406,0
661,다사554407,0
662,다사554408,0
663,다사554409,0
664,다사554410,0
665,다사554411,0
666,다사554412,0
667,다사554413,0
668,다사554414,2
669,다사554415,2
670,다사554416,2
671,다사554417,3
672,다사554418,1
