,gid,COUNT
765,다사555450,218
766,다사555451,218
767,다사555452,755
768,다사555453,233
769,다사555454,233
770,다사555455,793
771,다사555456,560
772,다사555457,560
773,다사555458,560
774,다사555459,1115
775,다사555460,555
776,다사555461,555
777,다사555462,1016
778,다사555463,461
779,다사555464,461
780,다사555465,461
781,다사556409,0
782,다사556410,0
783,다사556411,0
784,다사556412,1
785,다사556413,1
786,다사556414,11
787,다사556415,11
788,다사556416,19
789,다사556417,18
790,다사556418,13
791,다사556419,20
792,다사556420,12
793,다사556421,15
794,다사556422,35
795,다사556423,28
796,다사556424,54
797,다사556425,46
798,다사556426,68
799,다사556427,48
800,다사556428,64
801,다사556429,89
802,다사556430,67
803,다사556431,113
804,다사556432,71
805,다사556433,113
806,다사556434,88
807,다사556435,83
808,다사556436,113
809,다사556437,71
810,다사556438,114
811,다사556439,73
812,다사556440,110
813,다사556441,80
814,다사556442,112
815,다사556443,205
816,다사556444,168
817,다사556445,324
818,다사556446,249
819,다사556447,390
820,다사556448,515
821,다사556449,359
822,다사556450,663
823,다사556451,522
824,다사556452,755
825,다사556453,537
826,다사556454,860
827,다사556455,1116
828,다사556456,883
829,다사556457,1635
830,다사556458,1312
831,다사556459,1867
832,다사556460,1307
833,다사556461,825
834,다사556462,1286
835,다사556463,731
836,다사556464,940
837,다사556465,670
838,다사556466,1185
839,다사557409,0
840,다사557410,0
841,다사557411,0
842,다사557412,1
843,다사557413,1
844,다사557414,1
845,다사557415,1
846,다사557416,9
847,다사557417,8
848,다사557418,8
849,다사557419,15
850,다사557420,7
851,다사557421,7
852,다사557422,27
853,다사557423,20
854,다사557424,20
855,다사557425,20
856,다사557426,42
857,다사557427,22
858,다사557428,22
859,다사557429,47
860,다사557430,25
861,다사557431,25
862,다사557432,25
863,다사557433,67
864,다사557434,42
865,다사557435,42
866,다사557436,72
867,다사557437,30
868,다사557438,30
869,다사557439,30
870,다사557440,67
871,다사557441,37
872,다사557442,37
873,다사557443,130
874,다사557444,93
875,다사557445,93
876,다사557446,93
877,다사557447,234
878,다사557448,141
879,다사557449,141
880,다사557450,445
881,다사557451,304
882,다사557452,304
883,다사557453,304
884,다사557454,860
885,다사557455,323
886,다사557456,323
887,다사557457,1635
888,다사557458,752
889,다사557459,752
890,다사557460,1307
891,다사557461,1577
892,다사557462,270
893,다사557463,270
894,다사557464,940
895,다사557465,209
896,다사557466,209
897,다사557467,1130
898,다사558409,0
899,다사558410,0
900,다사558411,0
901,다사558412,2
902,다사558413,1
903,다사558414,1
904,다사558415,2
905,다사558416,10
906,다사558417,8
907,다사558418,8
908,다사558419,25
909,다사558420,7
910,다사558421,7
911,다사558422,31
912,다사558423,24
913,다사558424,20
914,다사558425,20
915,다사558426,65
916,다사558427,22
917,다사558428,22
918,다사558429,64
919,다사558430,42
920,다사558431,25
921,다사558432,25
922,다사558433,100
923,다사558434,42
924,다사558435,42
925,다사558436,117
926,다사558437,30
927,다사558438,30
928,다사558439,30
929,다사558440,97
930,다사558441,37
931,다사558442,37
932,다사558443,189
933,다사558444,93
934,다사558445,93
935,다사558446,93
936,다사558447,343
937,다사558448,141
938,다사558449,141
939,다사558450,624
940,다사558451,304
941,다사558452,304
942,다사558453,304
943,다사558454,627
944,다사558455,323
945,다사558456,323
946,다사558457,1075
947,다사558458,752
948,다사558459,752
949,다사558460,752
950,다사558461,1022
951,다사558462,270
952,다사558463,270
953,다사558464,479
954,다사558465,209
955,다사558466,209
956,다사558467,615
957,다사558468,406
958,다사559409,0
959,다사559410,1
960,다사559411,1
961,다사559412,2
962,다사559413,2
963,다사559414,3
964,다사559415,2
965,다사559416,9
966,다사559417,19
967,다사559418,18
968,다사559419,25
969,다사559420,17
970,다사559421,21
971,다사559422,11
972,다사559423,24
973,다사559424,47
974,다사559425,43
975,다사559426,65
976,다사559427,45
977,다사559428,62
978,다사559429,39
979,다사559430,42
980,다사559431,75
981,다사559432,58
982,다사559433,100
983,다사559434,75
984,다사559435,120
985,다사559436,117
986,다사559437,75
987,다사559438,105
988,다사559439,60
989,다사559440,97
990,다사559441,67
991,다사559442,126
992,다사559443,189
993,다사559444,152
994,다사559445,261
995,다사559446,202
996,다사559447,343
997,다사559448,429
998,다사559449,320
999,다사559450,624
